period_label,start_min,end_min,start_time,end_time,speed_mu_kmh,speed_sigma_kmh,load_ratio,fuel_expected_l_per_100km,ev_expected_kwh_per_100km,fuel_jensen_delta_l_per_100km,ev_jensen_delta_kwh_per_100km
congested,480,540,08:00,09:00,9.8,4.7,0.0,29.542405,35.179382,0.055225,0.030926000000000002
congested,480,540,08:00,09:00,9.8,4.7,0.5,35.450886,41.335773849999995,0.055225,0.030926000000000002
congested,480,540,08:00,09:00,9.8,4.7,1.0,41.359367,47.4921657,0.055225,0.030926000000000002
smooth,540,600,09:00,10:00,55.3,0.1,0.0,25.27163,33.83534,2.5e-05,1.4000000000000001e-05
smooth,540,600,09:00,10:00,55.3,0.1,0.5,30.325955999999998,39.756524500000005,2.5e-05,1.4000000000000001e-05
smooth,540,600,09:00,10:00,55.3,0.1,1.0,35.380281999999994,45.67770900000001,2.5e-05,1.4000000000000001e-05
medium_or_extended_medium,600,690,10:00,11:30,35.4,5.2,0.0,25.90934,33.73428,0.06760000000000001,0.037856
medium_or_extended_medium,600,690,10:00,11:30,35.4,5.2,0.5,31.091207999999998,39.637779,0.06760000000000001,0.037856
medium_or_extended_medium,600,690,10:00,11:30,35.4,5.2,1.0,36.273075999999996,45.541278,0.06760000000000001,0.037856
congested,690,780,11:30,13:00,9.8,4.7,0.0,29.542405,35.179382,0.055225,0.030926000000000002
congested,690,780,11:30,13:00,9.8,4.7,0.5,35.450886,41.335773849999995,0.055225,0.030926000000000002
congested,690,780,11:30,13:00,9.8,4.7,1.0,41.359367,47.4921657,0.055225,0.030926000000000002
smooth,780,900,13:00,15:00,55.3,0.1,0.0,25.27163,33.83534,2.5e-05,1.4000000000000001e-05
smooth,780,900,13:00,15:00,55.3,0.1,0.5,30.325955999999998,39.756524500000005,2.5e-05,1.4000000000000001e-05
smooth,780,900,13:00,15:00,55.3,0.1,1.0,35.380281999999994,45.67770900000001,2.5e-05,1.4000000000000001e-05
medium_or_extended_medium,900,1020,15:00,17:00,35.4,5.2,0.0,25.90934,33.73428,0.06760000000000001,0.037856
medium_or_extended_medium,900,1020,15:00,17:00,35.4,5.2,0.5,31.091207999999998,39.637779,0.06760000000000001,0.037856
medium_or_extended_medium,900,1020,15:00,17:00,35.4,5.2,1.0,36.273075999999996,45.541278,0.06760000000000001,0.037856
medium_or_extended_medium,1020,1440,17:00,24:00,35.4,5.2,0.0,25.90934,33.73428,0.06760000000000001,0.037856
medium_or_extended_medium,1020,1440,17:00,24:00,35.4,5.2,0.5,31.091207999999998,39.637779,0.06760000000000001,0.037856
medium_or_extended_medium,1020,1440,17:00,24:00,35.4,5.2,1.0,36.273075999999996,45.541278,0.06760000000000001,0.037856
