iteration,current_cost,best_cost,candidate_cost,accepted,destroy_operator,repair_operator
0,55322.70757955352,55322.70757955352,55322.70757955352,True,initial,initial
1,54734.59187599619,54734.59187599619,54734.59187599619,True,random_remove,time_oriented_insert
2,54734.59187599619,54734.59187599619,54734.59187599619,True,worst_cost_remove,time_oriented_insert
3,54704.546767647415,54704.546767647415,54704.546767647415,True,related_remove,time_oriented_insert
4,54435.60215353216,54435.60215353216,54435.60215353216,True,random_remove,time_oriented_insert
5,54435.60215353216,54435.60215353216,54435.60215353216,True,time_penalty_remove,regret2_insert
6,54678.576299691835,54435.60215353216,54678.576299691835,True,random_remove,regret2_insert
7,53854.3996670146,53854.3996670146,53854.3996670146,True,random_remove,regret2_insert
8,53107.08392116365,53107.08392116365,53107.08392116365,True,related_remove,regret2_insert
9,52821.875168478924,52821.875168478924,52821.875168478924,True,random_remove,regret2_insert
10,52821.875168478924,52821.875168478924,52821.875168478924,True,worst_cost_remove,regret2_insert
11,52821.875168478924,52821.875168478924,52821.875168478924,True,worst_cost_remove,time_oriented_insert
12,52821.875168478924,52821.875168478924,52821.875168478924,True,worst_cost_remove,time_oriented_insert
13,52887.170103244054,52821.875168478924,52887.170103244054,True,random_remove,regret2_insert
14,52280.001395910775,52280.001395910775,52280.001395910775,True,related_remove,time_oriented_insert
15,52280.001395910775,52280.001395910775,52280.001395910775,True,worst_cost_remove,regret2_insert
16,52280.001395910775,52280.001395910775,52280.001395910775,True,worst_cost_remove,regret2_insert
17,52640.21127160786,52280.001395910775,52640.21127160786,True,related_remove,greedy_insert
18,52640.21127160786,52280.001395910775,52640.21127160786,True,worst_cost_remove,time_oriented_insert
19,52640.21127160786,52280.001395910775,52640.21127160786,True,time_penalty_remove,time_oriented_insert
20,52640.21127160786,52280.001395910775,52640.21127160786,True,time_penalty_remove,regret2_insert
21,52640.21127160786,52280.001395910775,52640.21127160786,True,worst_cost_remove,greedy_insert
22,52640.21127160786,52280.001395910775,52640.21127160786,True,time_penalty_remove,time_oriented_insert
23,52640.21127160786,52280.001395910775,52640.21127160786,True,random_remove,time_oriented_insert
24,52842.50258971203,52280.001395910775,52842.50258971203,True,random_remove,regret2_insert
25,52842.50258971203,52280.001395910775,53944.40482697439,False,related_remove,time_oriented_insert
26,52842.50258971203,52280.001395910775,53396.18399867805,False,random_remove,time_oriented_insert
27,52842.50258971203,52280.001395910775,52842.50258971203,True,worst_cost_remove,regret2_insert
28,52842.50258971203,52280.001395910775,52842.50258971203,True,worst_cost_remove,greedy_insert
29,52575.24704401908,52280.001395910775,52575.24704401908,True,random_remove,time_oriented_insert
30,52244.08271623946,52244.08271623946,52244.08271623946,True,random_remove,regret2_insert
31,52244.08271623946,52244.08271623946,52244.08271623946,True,time_penalty_remove,greedy_insert
32,52244.08271623946,52244.08271623946,54268.902779868346,False,random_remove,time_oriented_insert
33,52244.08271623946,52244.08271623946,52244.08271623946,True,time_penalty_remove,time_oriented_insert
34,52244.08271623946,52244.08271623946,52244.08271623946,True,worst_cost_remove,regret2_insert
35,52244.08271623946,52244.08271623946,52244.08271623946,True,time_penalty_remove,regret2_insert
36,52244.08271623946,52244.08271623946,52244.08271623946,True,time_penalty_remove,greedy_insert
37,52244.08271623946,52244.08271623946,52244.08271623946,True,worst_cost_remove,time_oriented_insert
38,52244.08271623946,52244.08271623946,52244.08271623946,True,worst_cost_remove,regret2_insert
39,52244.08271623946,52244.08271623946,52244.08271623946,True,worst_cost_remove,greedy_insert
40,51870.90485765652,51870.90485765652,51870.90485765652,True,random_remove,regret2_insert
