route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_sequence,customer_sequence,depart_min,depart_time,return_min,return_time,total_weight_kg,total_volume_m3,total_distance_km,fixed_cost,energy_cost,carbon_cost,penalty_cost,total_cost
1,T0001,E1-001,E1,127->133,76->82,480.0,08:00,834.1650037135203,13:54,2749.3837000000003,8.61355,107.62501131519579,400.0,67.92214834720187,13.48710220077213,32.87593245240983,514.2851830003839
2,T0002,E1-002,E1,111->20,66->16,480.0,08:00,758.5884437950225,12:39,2876.2138999999997,8.8727,99.63868389174975,400.0,64.72867189230605,12.852982927883822,0.0,477.5816548201899
3,T0003,E1-003,E1,40->83,37->56,480.0,08:00,958.2518177683079,15:58,2920.0026333333335,7.729206666666667,161.6030023909068,400.0,104.45953308651822,20.742223749771135,60.058899930056896,585.2606567663462
4,T0004,E1-004,E1,37->134,35->83,480.0,08:00,862.7339899240231,14:23,2619.4195,6.6775199999999995,178.91982737997466,400.0,121.46667291515024,24.11928172854798,12.188511064129937,557.7744657078281
5,T0005,E1-005,E1,136->130->139,85->79->88,553.5505177088818,09:14,836.9212870437956,13:57,2988.561,9.32495,118.05505907034559,400.0,74.37864254331664,14.769149356238454,101.2002304262787,590.3480223258338
6,T0006,E1-002,E1,14,9,758.5884437950225,12:39,883.9377270957391,14:44,2506.7093,6.65072,80.8598259867192,0.0,51.529682518105034,10.232098239037137,106.7263642072453,168.48814496438746
7,T0007,E1-001,E1,137->33,86->31,834.1650037135203,13:54,1118.167034321635,18:38,2790.1019333333334,7.997003333333334,101.836576621834,0.0,64.55725190508775,12.81894456273892,173.4249218234538,250.80111829128046
8,T0008,E1-006,E1,46->138,42->87,541.0761122960852,09:01,867.78515209098,14:28,2294.2247666666667,5.473703333333334,175.07840004302392,400.0,106.9033919601466,21.227493653549843,4.379528230473132,532.5104138441696
9,T0009,E1-007,E1,47,42,541.0761122960852,09:01,796.0884446659403,13:16,2113.9337666666665,5.0089733333333335,125.1363663342164,400.0,78.25292080410082,15.538453451131364,0.0,493.7913742552322
10,T0010,E1-008,E1,48,42,541.0761122960852,09:01,796.0884446659403,13:16,2113.9337666666665,5.0089733333333335,125.1363663342164,400.0,78.25292080410082,15.538453451131364,0.0,493.7913742552322
11,T0011,E1-009,E1,92->30,60->30,594.7876041811693,09:55,791.1577520526196,13:11,2811.5092999999997,7.236177499999999,67.8211529548534,400.0,41.87117536331928,8.31423674211276,0.0,450.185412105432
12,T0012,E1-009,E1,93,60,791.1577520526196,13:11,851.0291983014927,14:11,2476.6573,6.5043975,36.748182959378,0.0,23.337552709389392,4.634069536471133,95.91122931421344,123.88285156007396
13,T0013,E1-007,E1,94,60,796.0884446659403,13:16,855.9598909148134,14:16,2476.6573,6.5043975,36.748182959378,0.0,23.337552709389392,4.634069536471133,100.02013982531405,127.99176207117458
14,T0014,E1-008,E1,95,60,796.0884446659403,13:16,855.9598909148134,14:16,2476.6573,6.5043975,36.748182959378,0.0,23.337552709389392,4.634069536471133,100.02013982531405,127.99176207117458
15,T0015,E1-010,E1,41->135,38->84,543.4986512331809,09:03,1170.722845849144,19:31,2866.9945000000002,8.4353,200.0337657767114,400.0,126.35849522323468,25.09063656673559,89.7852851449697,641.2344169349401
16,T0016,E1-005,E1,35->68,33->52,836.9212870437956,13:57,1100.3263555081828,18:20,2765.729333333333,7.076226666666667,152.57804118773288,0.0,95.67647301447477,18.99819721778275,140.45128391106357,255.12595414332108
17,T0017,E1-009,E1,10,8,851.0291983014927,14:11,962.8424069408229,16:03,2937.388405,9.006755,66.0548965441108,0.0,42.879643509736994,8.514485310332837,149.886400879986,201.28052970005584
