route_index,trip_id,physical_vehicle_id,vehicle_type,stop_index,service_node_id,customer_id,earliest_min,latest_min,arrival_min,arrival_time,wait_min,late_min,service_start_min,departure_min,departure_time,load_before_service_kg,load_after_service_kg,penalty_cost
1,T0001,E1-001,E1,1,127,76,549.0,625.0,570.1891373403494,09:30,0.0,0.0,570.1891373403494,590.1891373403494,09:50,2884.95745,1628.65575,0.0
1,T0001,E1-001,E1,2,28,28,1167.0,1235.0,627.5484633406319,10:28,539.4515366593681,0.0,1167.0,1187.0,19:47,1628.65575,0.0,179.81717888645602
2,T0002,E1-002,E1,1,111,66,550.0,633.0,581.4147881564706,09:41,0.0,0.0,581.4147881564706,601.4147881564706,10:01,2791.0139,0.0,0.0
3,T0003,E1-003,E1,1,20,16,557.0,641.0,577.8001369706616,09:38,0.0,0.0,577.8001369706616,597.8001369706616,09:58,2558.0861,2472.8861,0.0
3,T0003,E1-003,E1,2,74,54,1040.0,1124.0,684.2659846654053,11:24,355.7340153345947,0.0,1040.0,1060.0,17:40,2472.8861,0.0,118.57800511153155
4,T0004,E1-004,E1,1,40,37,565.0,643.0,595.3427621622285,09:55,0.0,0.0,595.3427621622285,615.3427621622285,10:15,2920.0026333333335,2355.0536333333334,0.0
4,T0004,E1-004,E1,2,83,56,830.0,909.0,649.8233002098293,10:50,180.1766997901707,0.0,830.0,850.0,14:10,2355.0536333333334,0.0,60.058899930056896
5,T0005,E1-005,E1,1,136,85,591.0,662.0,591.0,09:51,0.0,0.0,591.0,611.0,10:11,2286.4089,1692.5785999999998,0.0
5,T0005,E1-005,E1,2,37,35,569.0,652.0,662.1776573744529,11:02,0.0,10.177657374452906,662.1776573744529,682.1776573744529,11:22,1692.5785999999998,0.0,8.481381145377423
6,T0006,E1-006,E1,1,130,79,575.0,645.0,610.1462769288903,10:10,0.0,0.0,610.1462769288903,630.1462769288903,10:30,2315.13,0.0,0.0
7,T0007,E1-007,E1,1,139,88,604.0,679.0,604.0,10:04,0.0,0.0,604.0,624.0,10:24,2368.4866,2288.8859,0.0
7,T0007,E1-007,E1,2,116,69,946.0,1029.0,670.9284296895795,11:11,275.0715703104205,0.0,946.0,966.0,16:06,2288.8859,0.0,91.69052343680683
8,T0008,E1-008,E1,1,14,9,606.0,692.0,606.0,10:06,0.0,0.0,606.0,626.0,10:26,2506.7093,0.0,0.0
9,T0009,E1-009,E1,1,137,86,606.0,695.0,606.0,10:06,0.0,0.0,606.0,626.0,10:26,2025.977,1493.082,0.0
