iteration,current_cost,current_score,best_cost,best_score,candidate_cost,candidate_score,candidate_late_stop_count,candidate_max_late_min,candidate_return_after_midnight_count,accepted,destroy_operator,repair_operator
0,54180.95766161614,1074884.1256480082,54180.95766161614,1074884.1256480082,54180.95766161614,1074884.1256480082,33,198.27503605399227,1,True,initial,initial
1,54198.169854714266,1074905.0439255564,54180.95766161614,1074884.1256480082,54198.169854714266,1074905.0439255564,33,198.27503605399227,1,True,random_remove,time_oriented_insert
2,53699.04313813718,1073441.685612527,53699.04313813718,1073441.685612527,53699.04313813718,1073441.685612527,32,170.3747050890429,1,True,late_suffix_remove,time_oriented_insert
3,53699.04313813718,1073441.685612527,53681.307894724036,1074724.9946994558,53681.307894724036,1074724.9946994558,34,194.14826284876085,1,False,related_remove,time_oriented_insert
4,53535.1687945406,72803.85908815575,53535.1687945406,72803.85908815575,53535.1687945406,72803.85908815575,31,170.3747050890429,0,True,midnight_route_remove,time_oriented_insert
5,53146.84504501824,70706.98394907523,53146.84504501824,70706.98394907523,53146.84504501824,70706.98394907523,28,170.3747050890429,0,True,random_remove,greedy_insert
6,53146.84504501824,70706.98394907523,53146.84504501824,70706.98394907523,53146.84504501824,70706.98394907523,28,170.3747050890429,0,True,midnight_route_remove,regret2_insert
7,54608.98243450031,72963.56518672865,53146.84504501824,70706.98394907523,54608.98243450031,72963.56518672865,29,194.14826284876085,0,True,random_remove,regret2_insert
8,54606.554783351334,72382.79355898306,53146.84504501824,70706.98394907523,54606.554783351334,72382.79355898306,29,168.1058102026077,0,True,late_suffix_remove,regret2_insert
9,53621.04565228403,67556.16480888173,53146.84504501824,70706.98394907523,53621.04565228403,67556.16480888173,22,147.74846632346407,0,True,random_remove,regret2_insert
10,54758.33528253099,68304.25824145171,53146.84504501824,70706.98394907523,54758.33528253099,68304.25824145171,21,147.74846632346407,0,True,time_penalty_remove,regret2_insert
11,55429.12974277326,69568.04298907302,53146.84504501824,70706.98394907523,55429.12974277326,69568.04298907302,22,147.74846632346407,0,True,related_remove,time_oriented_insert
12,55044.13542417929,67846.62925981468,53146.84504501824,70706.98394907523,55044.13542417929,67846.62925981468,20,130.60116116458448,0,True,late_suffix_remove,regret2_insert
