route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_id,customer_id,earliest_min,latest_min,arrival_min,late_min,route_depart_min,route_return_min,trip_position_on_vehicle,direct_arrival_from_depot_0800,direct_late_min,fresh_route_arrival_min,fresh_route_late_min,same_customer_split_count,is_green_zone,policy_induced_late,ev_cascade_blocked,same_vehicle_previous_trip_id,previous_route_green_stop_count,previous_route_fuel_feasible,previous_route_arrive_before_restricted_end,blocking_previous_trip_id,blocking_trip_fuel_feasible,policy_wait_late,classification
19,T0019,E1-004,E1,13,8,649.0,707.0,802.7819471234159,95.78194712341588,706.3464060817935,858.6164298779064,2,565.2015713620855,0.0,649.0,0.0,4,True,True,True,T0007,1,False,True,T0007,False,False,Type B multi-trip cascade
25,T0025,F1-014,F1,4,5,1168.0,1226.0,1257.5955842286073,31.595584228607322,547.6144862453673,1350.513396216099,1,576.0450369684846,0.0,1257.5955842286073,31.595584228607322,1,True,True,False,,0,False,False,,False,True,Type C route-order/local-optimum
26,T0026,E1-008,E1,17,11,689.0,770.0,848.7023280154174,78.70232801541738,786.4420776911993,1223.8881283407438,2,591.627338931813,0.0,689.0,0.0,1,True,True,True,T0016,1,False,True,T0016,False,False,Type B multi-trip cascade
30,T0030,E1-009,E1,5,6,706.0,779.0,830.5340858304745,51.53408583047451,786.4420776911993,894.6260939697497,2,573.4590967468702,0.0,706.0000000000006,0.0,2,True,True,True,T0017,1,False,True,T0017,False,False,Type B multi-trip cascade
31,T0031,E1-010,E1,6,6,706.0,779.0,830.5340858304745,51.53408583047451,786.4420776911993,894.6260939697497,2,573.4590967468702,0.0,706.0000000000006,0.0,2,True,True,True,T0018,1,False,True,T0018,False,False,Type B multi-trip cascade
32,T0032,E1-003,E1,19,13,730.0,786.0,832.3568315584624,46.35683155846243,787.3946028347746,1075.996225267736,2,574.3293173312827,0.0,730.0000000000003,0.0,1,True,True,True,T0005,0,True,True,T0005,True,False,Type B multi-trip cascade
37,T0037,E1-006,E1,7,7,761.0,848.0,878.9691466580401,30.96914665804013,811.4797502010822,1003.8180066174971,2,596.8564850645529,0.0,761.0000000000008,0.0,3,True,True,True,T0010,0,True,True,T0010,True,False,Type B multi-trip cascade
38,T0038,E1-004,E1,8,7,761.0,848.0,940.7811354892091,92.78113548920908,858.6164298779064,1066.209486451632,3,596.8564850645529,0.0,761.0000000000008,0.0,3,True,True,True,T0019,1,False,True,T0019,False,False,Type B multi-trip cascade
39,T0039,E1-001,E1,9,7,761.0,848.0,977.4418202414138,129.44182024141378,882.0845716541821,1177.7689039661946,2,596.8564850645529,0.0,761.0000000000008,0.0,3,True,True,True,T0003,0,True,True,T0003,True,False,Type B multi-trip cascade
61,T0061,E1-009,E1,18,12,895.0,950.0,950.2940146724168,0.2940146724167789,894.6260939697497,1028.982859951411,3,566.9364398350162,0.0,895.0000000000001,0.0,1,True,True,True,T0030,1,False,True,T0030,False,False,Type B multi-trip cascade
85,T0085,F1-031,F1,1,2,1073.0,1129.0,1130.992197455284,1.9921974552839856,885.3466808910598,1215.7785541809997,1,570.8397292602231,0.0,1130.992197455284,1.9921974552839856,1,True,True,False,,0,False,False,,False,True,Type C route-order/local-optimum
86,T0086,F1-032,F1,36,34,1135.0,1208.0,1257.77032604175,49.77032604174997,885.3466808910598,1360.9549427152056,1,582.6172772195357,0.0,1257.77032604175,49.77032604174997,1,False,False,False,,0,False,False,,False,False,Type C route-order/local-optimum
