route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_id,customer_id,arrival_min,is_green_zone,is_fuel_vehicle,would_violate_problem2_policy
1,T0001,E1-001,E1,127,76,570.1891373403494,False,False,False
1,T0001,E1-001,E1,40,37,660.9922760581544,False,False,False
1,T0001,E1-001,E1,137,86,774.330472262419,False,False,False
2,T0002,E1-002,E1,111,66,581.4147881564706,False,False,False
2,T0002,E1-002,E1,20,16,613.3282252743965,False,False,False
3,T0003,E1-003,E1,37,35,666.6262132769559,False,False,False
4,T0004,E1-004,E1,130,79,610.1462769288903,False,False,False
4,T0004,E1-004,E1,136,85,647.9651176854292,False,False,False
4,T0004,E1-004,E1,139,88,792.6544224120167,False,False,False
5,T0005,E1-005,E1,14,9,606.0,True,False,False
6,T0006,E1-006,E1,46,42,614.0000000000001,False,False,False
6,T0006,E1-006,E1,138,87,664.8614153085806,False,False,False
7,T0007,E1-007,E1,47,42,614.0000000000001,False,False,False
8,T0008,E1-008,E1,48,42,614.0000000000001,False,False,False
9,T0009,E1-009,E1,92,60,623.0,False,False,False
9,T0009,E1-009,E1,30,30,721.8953573504223,False,False,False
10,T0010,E1-010,E1,93,60,623.0,False,False,False
11,T0011,F1-001,F1,94,60,623.0,False,True,False
12,T0012,F1-002,F1,95,60,623.0,False,True,False
13,T0013,F1-003,F1,41,38,628.0,False,True,False
13,T0013,F1-003,F1,39,36,675.0866613975353,False,True,False
14,T0014,F1-004,F1,35,33,646.0,False,True,False
14,T0014,F1-004,F1,68,52,675.7885895471707,False,True,False
15,T0015,E1-010,E1,10,8,789.7340395136467,True,False,False
16,T0016,E1-005,E1,11,8,802.7819471234159,True,False,False
17,T0017,E1-002,E1,12,8,812.04002975614,True,False,False
18,T0018,E1-009,E1,13,8,826.9922348071101,True,False,False
19,T0019,F1-005,F1,55,46,672.0,False,True,False
20,T0020,F1-006,F1,56,46,672.0,False,True,False
21,T0021,F1-007,F1,89,59,675.0,False,True,False
22,T0022,F1-008,F1,90,59,675.0,False,True,False
23,T0023,F1-009,F1,91,59,675.0,False,True,False
24,T0024,E1-007,E1,17,11,858.3486949901584,True,False,False
24,T0024,E1-007,E1,120,71,906.3591796729238,False,False,False
25,T0025,F1-010,F1,117,70,702.4934890539674,False,True,False
26,T0026,F1-011,F1,118,70,702.4934890539674,False,True,False
27,T0027,F1-012,F1,133,82,701.0000000000001,False,True,False
