route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_sequence,customer_sequence,depart_min,depart_time,return_min,return_time,total_weight_kg,total_volume_m3,total_distance_km,fixed_cost,energy_cost,carbon_cost,penalty_cost,total_cost
1,T0001,E1-001,E1,127->18,76->12,480.0,08:00,973.6888452789942,16:14,2983.1433,8.340340000000001,93.6652102592605,400.0,61.84408071096341,12.280198099710512,91.3434322723236,565.4677110829975
2,T0002,E1-002,E1,111,66,480.0,08:00,682.7209402766069,11:23,2791.0139,8.6796,95.9412595017608,400.0,62.11220597323391,12.3334389482827,0.0,474.44564492151665
3,T0003,E1-003,E1,20->37->145,16->35->94,480.0,08:00,839.6251722025839,14:00,1786.9646,4.09541,151.2171409694695,400.0,92.89449021789017,18.44578703625362,0.0,511.34027725414376
4,T0004,E1-004,E1,40->6,37->6,480.0,08:00,817.2098252673185,13:37,2801.7706000000003,7.810999999999999,150.5837384051844,400.0,102.17968615034202,20.289521216377366,0.0,522.4692073667194
5,T0005,E1-005,E1,130->136,79->85,480.0,08:00,787.3946028347746,13:07,2908.9603,8.787469999999999,116.11535894605049,400.0,78.78345528538019,15.643800130295158,0.0,494.42725541567535
6,T0006,E1-006,E1,139->9,88->7,586.0795681295833,09:46,871.3652191178819,14:31,2567.3449666666666,6.615493333333334,134.60494166088188,400.0,86.76075681294436,17.227829546423987,0.0,503.98858635936836
7,T0007,E1-007,E1,14,9,559.9747779457219,09:20,706.3464060817935,11:46,2506.7093,6.65072,80.8598259867192,400.0,51.4187369830244,10.210068108854816,0.0,461.62880509187926
8,T0008,E1-008,E1,137->84,86->56,573.7614311940539,09:34,958.2518177683079,15:58,2887.9486333333334,8.758386666666667,158.64996130787182,400.0,101.12613832480349,20.080321308214796,20.718011071245236,541.9244707042635
9,T0009,E1-009,E1,46,42,541.0761122960852,09:01,796.0884446659403,13:16,2113.9337666666665,5.0089733333333335,125.1363663342164,400.0,78.25292080410082,15.538453451131364,0.0,493.7913742552322
10,T0010,E1-010,E1,47,42,541.0761122960852,09:01,796.0884446659403,13:16,2113.9337666666665,5.0089733333333335,125.1363663342164,400.0,78.25292080410082,15.538453451131364,0.0,493.7913742552322
