route_index,trip_id,physical_vehicle_id,vehicle_type,stop_index,service_node_id,customer_id,earliest_min,latest_min,arrival_min,arrival_time,wait_min,late_min,service_start_min,departure_min,departure_time,load_before_service_kg,load_after_service_kg,penalty_cost
1,T0001,F1-001,F1,1,127,76,549.0,625.0,570.1891373403494,09:30,0.0,0.0,570.1891373403494,590.1891373403494,09:50,2749.3837000000003,1493.0820000000003,0.0
1,T0001,F1-001,F1,2,133,82,701.0,782.0,602.3722026427705,10:02,98.6277973572295,0.0,701.0,721.0,12:01,1493.0820000000003,2.2737367544323206e-13,32.87593245240983
2,T0002,F1-002,F1,1,111,66,550.0,633.0,581.4147881564706,09:41,0.0,0.0,581.4147881564706,601.4147881564706,10:01,2791.0139,0.0,0.0
3,T0003,E1-001,E1,1,20,16,557.0,641.0,577.8001369706616,09:38,0.0,0.0,577.8001369706616,597.8001369706616,09:58,1875.4747,1790.2747,0.0
3,T0003,E1-001,E1,2,37,35,569.0,652.0,648.1759585395231,10:48,0.0,0.0,648.1759585395231,668.1759585395231,11:08,1790.2747,97.69609999999989,0.0
3,T0003,E1-001,E1,3,144,93,772.0,854.0,676.9802227052666,11:17,95.01977729473344,0.0,772.0,792.0,13:12,97.69609999999989,0.0,31.67325909824448
4,T0004,E1-002,E1,1,40,37,565.0,643.0,595.3427621622285,09:55,0.0,0.0,595.3427621622285,615.3427621622285,10:15,2920.0026333333335,2355.0536333333334,0.0
4,T0004,E1-002,E1,2,82,56,830.0,909.0,649.8233002098293,10:50,180.1766997901707,0.0,830.0,850.0,14:10,2355.0536333333334,0.0,60.058899930056896
5,T0005,E1-003,E1,1,130,79,575.0,645.0,610.1462769288903,10:10,0.0,0.0,610.1462769288903,630.1462769288903,10:30,2908.9603,593.8303000000001,0.0
5,T0005,E1-003,E1,2,136,85,591.0,662.0,647.9651176854292,10:48,0.0,0.0,647.9651176854292,667.9651176854292,11:08,593.8303000000001,1.1368683772161603e-13,0.0
6,T0006,F1-003,F1,1,139,88,604.0,679.0,604.0,10:04,0.0,0.0,604.0,624.0,10:24,2556.258,2476.6573,0.0
6,T0006,F1-003,F1,2,94,60,623.0,696.0,644.361971086719,10:44,0.0,0.0,644.361971086719,664.361971086719,11:04,2476.6573,0.0,0.0
7,T0007,E1-004,E1,1,14,9,606.0,692.0,606.0,10:06,0.0,0.0,606.0,626.0,10:26,2506.7093,0.0,0.0
8,T0008,F1-004,F1,1,137,86,606.0,695.0,606.0,10:06,0.0,0.0,606.0,626.0,10:26,2736.112666666667,2203.217666666667,0.0
8,T0008,F1-004,F1,2,87,57,878.0,959.0,660.1077156663155,11:00,217.89228433368453,0.0,878.0,898.0,14:58,2203.217666666667,0.0,72.6307614445615
9,T0009,E1-005,E1,1,48,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2458.3018666666667,344.36810000000014,0.0
9,T0009,E1-005,E1,2,146,95,865.0,934.0,650.5279508563399,10:51,214.47204914366012,0.0,865.0,885.0,14:45,344.36810000000014,235.01810000000015,71.4906830478867
9,T0009,E1-005,E1,3,2,3,873.0,921.0,913.1681664703805,15:13,0.0,0.0,913.1681664703805,933.1681664703805,15:33,235.01810000000015,1.4210854715202004e-13,0.0
10,T0010,E1-006,E1,1,46,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2641.2003666666665,527.2665999999999,0.0
10,T0010,E1-006,E1,2,35,33,646.0,731.0,646.2692135396488,10:46,0.0,0.0,646.2692135396488,666.2692135396488,11:06,527.2665999999999,0.0,0.0
11,T0011,F1-005,F1,1,47,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2113.9337666666665,0.0,0.0
12,T0012,F1-006,F1,1,92,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2476.6573,0.0,0.0
13,T0013,F1-007,F1,1,93,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2476.6573,0.0,0.0
