iteration,current_cost,current_score,best_cost,best_score,candidate_cost,candidate_score,candidate_late_stop_count,candidate_max_late_min,candidate_return_after_midnight_count,accepted,destroy_operator,repair_operator
0,57892.027321017355,1070812.60251948,57892.027321017355,1070812.60251948,57892.027321017355,1070812.60251948,21,168.1058102026077,1,True,initial,initial
1,56853.79993238785,1070281.8890709348,56853.79993238785,1070281.8890709348,56853.79993238785,1070281.8890709348,22,168.1058102026077,1,True,random_remove,time_oriented_insert
2,56658.1020222411,1069029.0871056742,56658.1020222411,1069029.0871056742,56658.1020222411,1069029.0871056742,21,119.21321710177881,1,True,late_suffix_remove,greedy_insert
3,57123.98829995572,1068311.773429745,56658.1020222411,1069029.0871056742,57123.98829995572,1068311.773429745,19,113.65442241201674,1,True,late_suffix_remove,time_oriented_insert
4,57123.98829995572,1068311.773429745,56658.1020222411,1069029.0871056742,57783.32622918526,1069475.4226939532,20,113.65442241201674,1,False,related_remove,time_oriented_insert
5,56920.01698234492,68755.8332316718,56658.1020222411,1069029.0871056742,56920.01698234492,68755.8332316718,20,113.65442241201674,0,True,midnight_route_remove,time_oriented_insert
6,56273.02184295011,68406.07461097365,56273.02184295011,68406.07461097365,56273.02184295011,68406.07461097365,21,109.8696473618611,0,True,random_remove,greedy_insert
7,56273.02184295011,68406.07461097365,56273.02184295011,68406.07461097365,56273.94736551313,1068231.7731674253,21,109.48713438678294,1,False,midnight_route_remove,regret2_insert
8,56631.68965105665,68764.7424190802,56273.02184295011,68406.07461097365,56631.68965105665,68764.7424190802,21,109.8696473618611,0,True,worst_cost_remove,greedy_insert
9,56264.21421841328,69964.25005707148,56264.21421841328,69964.25005707148,56264.21421841328,69964.25005707148,24,109.8696473618611,0,True,time_penalty_remove,time_oriented_insert
10,56644.817836599585,70002.97993872876,56264.21421841328,69964.25005707148,56644.817836599585,70002.97993872876,23,109.8696473618611,0,True,random_remove,regret2_insert
11,56644.817836599585,70002.97993872876,56264.21421841328,69964.25005707148,56470.140684627964,1067807.431796101,19,144.64897250798504,1,False,actual_late_remove,greedy_insert
12,56959.067723226246,69813.79684488123,56264.21421841328,69964.25005707148,56959.067723226246,69813.79684488123,21,173.0811134798655,0,True,actual_late_remove,time_oriented_insert
