route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_id,customer_id,arrival_min,is_green_zone,is_fuel_vehicle,would_violate_problem2_policy
1,T0001,E1-001,E1,145,76,570.1891373403494,False,False,False
1,T0001,E1-001,E1,73,46,660.2243389995558,False,False,False
2,T0002,F1-001,F1,129,66,581.4147881564706,False,True,False
3,T0003,E1-002,E1,38,16,577.8001369706616,False,False,False
3,T0003,E1-002,E1,164,95,645.7434794425398,False,False,False
3,T0003,E1-002,E1,158,89,925.5344029137758,False,False,False
3,T0003,E1-002,E1,39,19,1002.7693909708785,False,False,False
3,T0003,E1-002,E1,83,50,1199.78892683315,False,False,False
4,T0004,E1-003,E1,58,37,595.3427621622285,False,False,False
4,T0004,E1-003,E1,101,56,649.8233002098293,False,False,False
5,T0005,E1-004,E1,21,8,649.0,True,False,False
5,T0005,E1-004,E1,55,35,808.1041226657659,False,False,False
6,T0006,E1-005,E1,148,79,610.1462769288903,False,False,False
7,T0007,E1-006,E1,154,85,591.0,False,False,False
7,T0007,E1-006,E1,157,88,677.7182032011393,False,False,False
7,T0007,E1-006,E1,87,52,838.2310632444561,False,False,False
8,T0008,E1-007,E1,26,9,606.0,True,False,False
8,T0008,E1-007,E1,19,8,635.0094522272557,True,False,False
9,T0009,E1-008,E1,27,9,606.0,True,False,False
9,T0009,E1-008,E1,137,71,681.2009796359368,False,False,False
10,T0010,E1-009,E1,28,9,606.0,True,False,False
10,T0010,E1-009,E1,147,78,677.0049747085783,False,False,False
11,T0011,F1-002,F1,155,86,606.0,False,True,False
11,T0011,F1-002,F1,151,82,675.3390871975836,False,True,False
12,T0012,E1-010,E1,64,42,614.0000000000001,False,False,False
12,T0012,E1-010,E1,53,33,646.2692135396488,False,False,False
12,T0012,E1-010,E1,156,87,761.3746906039714,False,False,False
13,T0013,F1-003,F1,65,42,614.0000000000001,False,True,False
14,T0014,F1-004,F1,66,42,614.0000000000001,False,True,False
15,T0015,F1-005,F1,110,60,623.0,False,True,False
16,T0016,F1-006,F1,111,60,623.0,False,True,False
17,T0017,F1-007,F1,112,60,623.0,False,True,False
18,T0018,F1-008,F1,113,60,623.0,False,True,False
19,T0019,F1-009,F1,59,38,628.0,False,True,False
19,T0019,F1-009,F1,57,36,675.0866613975353,False,True,False
20,T0020,E1-007,E1,22,8,822.2765604456898,True,False,False
20,T0020,E1-007,E1,10,7,855.0333853837786,True,False,False
21,T0021,E1-005,E1,23,8,838.6980705766503,True,False,False
21,T0021,E1-005,E1,11,7,871.4548955147391,True,False,False
22,T0022,E1-001,E1,24,8,870.9788902093856,True,False,False
22,T0022,E1-001,E1,12,7,905.8357358094727,True,False,False
23,T0023,E1-010,E1,25,8,930.5024349535067,True,False,False
23,T0023,E1-010,E1,13,7,970.4304693906906,True,False,False
24,T0024,F1-002,F1,16,8,960.0000000103431,True,True,False
