route_index,trip_id,physical_vehicle_id,vehicle_type,stop_index,service_node_id,customer_id,earliest_min,latest_min,arrival_min,arrival_time,wait_min,late_min,service_start_min,departure_min,departure_time,load_before_service_kg,load_after_service_kg,penalty_cost
1,T0001,E1-001,E1,1,145,76,549.0,625.0,570.1891373403494,09:30,0.0,0.0,570.1891373403494,590.1891373403494,09:50,2948.8803,1692.5785999999998,0.0
1,T0001,E1-001,E1,2,55,35,569.0,652.0,651.6410269886301,10:52,0.0,0.0,651.6410269886301,671.6410269886301,11:12,1692.5785999999998,0.0,0.0
2,T0002,E1-002,E1,1,129,66,550.0,633.0,581.4147881564706,09:41,0.0,0.0,581.4147881564706,601.4147881564706,10:01,2791.0139,0.0,0.0
3,T0003,E1-003,E1,1,38,16,557.0,641.0,577.8001369706616,09:38,0.0,0.0,577.8001369706616,597.8001369706616,09:58,2400.33,2315.13,0.0
3,T0003,E1-003,E1,2,148,79,575.0,645.0,619.6314725986534,10:20,0.0,0.0,619.6314725986534,639.6314725986534,10:40,2315.13,0.0,0.0
4,T0004,E1-004,E1,1,58,37,565.0,643.0,595.3427621622285,09:55,0.0,0.0,595.3427621622285,615.3427621622285,10:15,2920.0026333333335,2355.0536333333334,0.0
4,T0004,E1-004,E1,2,100,56,830.0,909.0,649.8233002098293,10:50,180.1766997901707,0.0,830.0,850.0,14:10,2355.0536333333334,0.0,60.058899930056896
5,T0005,E1-005,E1,1,154,85,591.0,662.0,591.0,09:51,0.0,0.0,591.0,611.0,10:11,2832.2930333333334,2238.4627333333333,0.0
5,T0005,E1-005,E1,2,88,52,905.0,992.0,659.6126125545849,11:00,245.38738744541513,0.0,905.0,925.0,15:25,2238.4627333333333,0.0,81.79579581513838
6,T0006,E1-006,E1,1,157,88,604.0,679.0,604.0,10:04,0.0,0.0,604.0,624.0,10:24,2824.4039333333335,2744.8032333333335,0.0
6,T0006,E1-006,E1,2,87,52,905.0,992.0,794.6137324782505,13:15,110.38626752174946,0.0,905.0,925.0,15:25,2744.8032333333335,506.34050000000025,36.79542250724982
6,T0006,E1-006,E1,3,149,80,1061.0,1114.0,996.2571090475659,16:36,64.7428909524341,0.0,1061.0,1081.0,18:01,506.34050000000025,1.7053025658242404e-13,21.580963650811363
7,T0007,E1-007,E1,1,28,9,606.0,692.0,606.0,10:06,0.0,0.0,606.0,626.0,10:26,2079.4419,1243.8721333333333,0.0
7,T0007,E1-007,E1,2,14,7,761.0,848.0,652.1044704605032,10:52,108.8955295394968,0.0,761.0,781.0,13:01,1243.8721333333333,0.0,36.29850984649893
8,T0008,E1-008,E1,1,26,9,606.0,692.0,606.0,10:06,0.0,0.0,606.0,626.0,10:26,2698.5558666666666,1862.9861,0.0
8,T0008,E1-008,E1,2,141,74,791.0,850.0,685.3606899085976,11:25,105.63931009140242,0.0,791.0,811.0,13:31,1862.9861,0.0,35.213103363800805
9,T0009,E1-009,E1,1,27,9,606.0,692.0,606.0,10:06,0.0,0.0,606.0,626.0,10:26,2698.5558666666666,1862.9861,0.0
9,T0009,E1-009,E1,2,142,74,791.0,850.0,685.3606899085976,11:25,105.63931009140242,0.0,791.0,811.0,13:31,1862.9861,0.0,35.213103363800805
10,T0010,E1-010,E1,1,155,86,606.0,695.0,606.0,10:06,0.0,0.0,606.0,626.0,10:26,2887.9486333333334,2355.0536333333334,0.0
10,T0010,E1-010,E1,2,101,56,830.0,909.0,767.8459667862643,12:48,62.154033213735715,0.0,830.0,850.0,14:10,2355.0536333333334,0.0,20.718011071245236
11,T0011,F1-001,F1,1,66,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2987.8787666666667,873.9450000000002,0.0
11,T0011,F1-001,F1,2,47,29,1058.0,1143.0,790.8098503686133,13:11,267.1901496313867,0.0,1058.0,1078.0,17:58,873.9450000000002,2.2737367544323206e-13,89.06338321046223
12,T0012,F1-002,F1,1,64,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2214.5425666666665,100.60879999999997,0.0
12,T0012,F1-002,F1,2,159,90,830.0,909.0,794.5603365082644,13:15,35.43966349173559,0.0,830.0,850.0,14:10,100.60879999999997,0.0,11.813221163911862
13,T0013,F1-003,F1,1,65,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2113.9337666666665,0.0,0.0
14,T0014,F1-004,F1,1,110,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2811.5092999999997,334.85199999999986,0.0
14,T0014,F1-004,F1,2,48,30,692.0,782.0,721.8953573504223,12:02,0.0,0.0,721.8953573504223,741.8953573504223,12:22,334.85199999999986,0.0,0.0
15,T0015,F1-005,F1,1,111,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2476.6573,0.0,0.0
16,T0016,F1-006,F1,1,112,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2476.6573,0.0,0.0
17,T0017,F1-007,F1,1,113,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2476.6573,0.0,0.0
18,T0018,E1-002,E1,1,59,38,628.0,694.0,833.8163810596199,13:54,0.0,139.81638105961986,833.8163810596199,853.8163810596199,14:14,2505.6047333333336,1243.8721333333335,116.51365088301655
18,T0018,E1-002,E1,2,12,7,761.0,848.0,871.5432670406834,14:32,0.0,23.543267040683418,871.5432670406834,891.5432670406834,14:52,1243.8721333333335,2.2737367544323206e-13,19.619389200569515
19,T0019,F1-008,F1,1,53,33,646.0,731.0,646.0,10:46,0.0,0.0,646.0,666.0,11:06,2020.3486000000003,1493.0820000000003,0.0
19,T0019,F1-008,F1,2,151,82,701.0,782.0,745.5894210331047,12:26,0.0,0.0,745.5894210331047,765.5894210331047,12:46,1493.0820000000003,2.2737367544323206e-13,0.0
20,T0020,E1-003,E1,1,22,8,649.0,707.0,844.7699679855041,14:05,0.0,137.76996798550408,844.7699679855041,864.7699679855041,14:25,1896.7364120000002,721.78105,114.80830665458674
20,T0020,E1-003,E1,2,4,4,1169.0,1237.0,874.9611871434527,14:35,294.03881285654734,0.0,1169.0,1189.0,19:49,721.78105,0.0,98.01293761884911
21,T0021,E1-007,E1,1,23,8,649.0,707.0,884.3238792114485,14:44,0.0,177.32387921144846,884.3238792114485,904.3238792114485,15:04,2418.8274953333334,1243.8721333333333,147.7698993428737
21,T0021,E1-007,E1,2,10,7,761.0,848.0,924.2519136486324,15:24,0.0,76.25191364863235,924.2519136486324,944.2519136486324,15:44,1243.8721333333333,0.0,63.5432613738603
22,T0022,E1-001,E1,1,16,8,649.0,707.0,902.2120678453408,15:02,0.0,195.2120678453408,902.2120678453408,922.2120678453408,15:22,2708.489762,1533.5344,162.6767232044507
22,T0022,E1-001,E1,2,138,71,1159.0,1245.0,975.3101516968687,16:15,183.68984830313127,0.0,1159.0,1179.0,19:39,1533.5344,0.0,61.22994943437709
23,T0023,E1-008,E1,1,17,8,649.0,707.0,928.5338871055671,15:29,0.0,221.53388710556715,928.5338871055671,948.5338871055671,15:49,2803.6111120000005,1628.6557500000004,184.61157258797263
23,T0023,E1-008,E1,2,46,28,1167.0,1235.0,1030.3006682415862,17:10,136.6993317584138,0.0,1167.0,1187.0,19:47,1628.6557500000004,2.2737367544323206e-13,45.56644391947126
24,T0024,E1-009,E1,1,18,8,649.0,707.0,928.5338871055671,15:29,0.0,221.53388710556715,928.5338871055671,948.5338871055671,15:49,2349.9107240000003,1174.9553620000002,184.61157258797263
24,T0024,E1-009,E1,2,19,8,649.0,707.0,948.5338871055671,15:49,0.0,241.53388710556715,948.5338871055671,968.5338871055671,16:09,1174.9553620000002,0.0,201.2782392546393
25,T0025,E2-001,E2,1,20,8,649.0,707.0,649.0,10:49,0.0,0.0,649.0,669.0,11:09,1174.9553620000002,0.0,0.0
26,T0026,F1-005,F1,1,21,8,649.0,707.0,960.0000000131436,16:00,0.0,253.00000001314356,960.0000000131436,980.0000000131436,16:20,2683.675662,1508.7203,210.8333333442863
26,T0026,F1-005,F1,2,143,75,865.0,945.0,1084.5342105039133,18:05,0.0,139.5342105039133,1084.5342105039133,1104.5342105039133,18:25,1508.7203,0.0,116.2785087532611
27,T0027,F1-006,F1,1,24,8,649.0,707.0,960.0000000131436,16:00,0.0,253.00000001314356,960.0000000131436,980.0000000131436,16:20,2879.1475120000005,1704.1921500000003,210.8333333442863
27,T0027,F1-006,F1,2,84,51,1053.0,1119.0,1035.5950824669314,17:16,17.404917533068556,0.0,1053.0,1073.0,17:53,1704.1921500000003,2.2737367544323206e-13,5.801639177689518
28,T0028,E2-002,E2,1,25,8,649.0,707.0,649.0,10:49,0.0,0.0,649.0,669.0,11:09,1174.9553620000002,0.0,0.0
29,T0029,F1-003,F1,1,73,46,672.0,731.0,892.7029990422396,14:53,0.0,161.70299904223964,892.7029990422396,912.7029990422396,15:13,2834.9342,1175.0143500000001,134.75249920186639
29,T0029,F1-003,F1,2,2,3,873.0,921.0,960.0000000189249,16:00,0.0,39.00000001892488,960.0000000189249,980.0000000189249,16:20,1175.0143500000001,939.9962500000001,32.50000001577074
29,T0029,F1-003,F1,3,31,10,1180.0,1229.0,989.5691266604177,16:30,190.43087333958226,0.0,1180.0,1200.0,20:00,939.9962500000001,1.1368683772161603e-13,63.476957779860754
30,T0030,F1-009,F1,1,74,46,672.0,731.0,672.0,11:12,0.0,0.0,672.0,692.0,11:32,1659.91985,0.0,0.0
31,T0031,F1-010,F1,1,107,59,675.0,759.0,675.0,11:15,0.0,0.0,675.0,695.0,11:35,2935.7956,0.0,0.0
32,T0032,F1-011,F1,1,108,59,675.0,759.0,675.0,11:15,0.0,0.0,675.0,695.0,11:35,2935.7956,0.0,0.0
33,T0033,F1-012,F1,1,109,59,675.0,759.0,675.0,11:15,0.0,0.0,675.0,695.0,11:35,2935.7956,0.0,0.0
34,T0034,F1-013,F1,1,156,87,678.0,762.0,678.0000000000001,11:18,0.0,0.0,678.0000000000001,698.0000000000001,11:38,2638.04355,2457.7525499999997,0.0
34,T0034,F1-013,F1,2,164,95,865.0,934.0,780.6131197359601,13:01,84.38688026403986,0.0,865.0,885.0,14:45,2457.7525499999997,2348.40255,28.128960088013287
34,T0034,F1-013,F1,3,44,27,1071.0,1147.0,891.0489465205648,14:51,179.95105347943525,0.0,1071.0,1091.0,18:11,2348.40255,731.6004999999998,59.98368449314508
34,T0034,F1-013,F1,4,5,5,1168.0,1226.0,1132.9551456220609,18:53,35.044854377939146,0.0,1168.0,1188.0,19:48,731.6004999999998,0.0,11.681618125979714
35,T0035,E2-003,E2,1,33,11,689.0,770.0,689.0,11:29,0.0,0.0,689.0,709.0,11:49,1202.85185,540.0868,0.0
35,T0035,E2-003,E2,2,37,13,730.0,786.0,782.7641374241489,13:03,0.0,0.0,782.7641374241489,802.7641374241489,13:23,540.0868,1.1368683772161603e-13,0.0
36,T0036,F1-009,F1,1,34,11,689.0,770.0,960.0000000100022,16:00,0.0,190.00000001000217,960.0000000100022,980.0000000100022,16:20,2545.15605,1882.391,158.3333333416685
36,T0036,F1-009,F1,2,147,78,1194.0,1255.0,1000.0050652704225,16:40,193.9949347295775,0.0,1194.0,1214.0,20:14,1882.391,0.0,64.6649782431925
37,T0037,F1-014,F1,1,135,70,696.0,755.0,702.4934890539674,11:42,0.0,0.0,702.4934890539674,722.4934890539674,12:02,2837.3255,0.0,0.0
38,T0038,F1-015,F1,1,136,70,696.0,755.0,702.4934890539674,11:42,0.0,0.0,702.4934890539674,722.4934890539674,12:02,2935.0216,97.69610000000011,0.0
38,T0038,F1-015,F1,2,162,93,772.0,854.0,799.9477761115392,13:20,0.0,0.0,799.9477761115392,819.9477761115392,13:40,97.69610000000011,1.1368683772161603e-13,0.0
39,T0039,F1-008,F1,1,6,6,706.0,779.0,960.0000000195869,16:00,0.0,181.00000001958688,960.0000000195869,980.0000000195869,16:20,2362.2829333333334,1243.8721333333333,150.83333334965573
39,T0039,F1-008,F1,2,11,7,761.0,848.0,1014.0959146027652,16:54,0.0,166.09591460276522,1014.0959146027652,1034.0959146027653,17:14,1243.8721333333333,0.0,138.41326216897102
40,T0040,F1-004,F1,1,8,6,706.0,779.0,960.0000000597105,16:00,0.0,181.0000000597105,960.0000000597105,980.0000000597105,16:20,2236.8216,1118.4108,150.83333338309208
40,T0040,F1-004,F1,2,7,6,706.0,779.0,980.0000000597105,16:20,0.0,201.0000000597105,980.0000000597105,1000.0000000597105,16:40,1118.4108,0.0,167.50000004975874
