iteration,current_cost,current_score,best_cost,best_score,candidate_cost,candidate_score,candidate_late_stop_count,candidate_max_late_min,candidate_return_after_midnight_count,accepted,destroy_operator,repair_operator
0,53318.0107362506,1069106.9594848757,53318.0107362506,1069106.9594848757,53318.0107362506,1069106.9594848757,26,168.1058102026077,1,True,initial,initial
1,52555.43308290892,1069585.7539821358,52555.43308290892,1069585.7539821358,52555.43308290892,1069585.7539821358,28,168.1058102026077,1,True,random_remove,regret2_insert
2,52850.535685527495,1069378.094839794,52555.43308290892,1069585.7539821358,52850.535685527495,1069378.094839794,27,168.1058102026077,1,True,time_penalty_remove,regret2_insert
3,52855.76468533895,1068401.1589269324,52555.43308290892,1069585.7539821358,52855.76468533895,1068401.1589269324,26,123.0724280418118,1,True,late_route_split,greedy_insert
4,52855.76468533895,1068401.1589269324,52555.43308290892,1069585.7539821358,54730.623252829784,1071829.535325211,28,142.22627255140696,1,False,random_remove,greedy_insert
5,52612.93909373482,1068158.3333353284,52555.43308290892,1069585.7539821358,52612.93909373482,1068158.3333353284,26,123.0724280418118,1,True,worst_cost_remove,time_oriented_insert
6,52349.61372773948,66813.64992874984,52349.61372773948,66813.64992874984,52349.61372773948,66813.64992874984,24,123.0724280418118,0,True,midnight_route_remove,time_oriented_insert
7,52349.61372773948,66813.64992874984,52349.61372773948,66813.64992874984,53533.810033391805,68149.1366842693,24,123.23458511411718,0,False,related_remove,regret2_insert
8,52349.61372773948,66813.64992874984,52349.61372773948,66813.64992874984,52349.61372773948,66813.64992874984,24,123.0724280418118,0,True,worst_cost_remove,time_oriented_insert
9,52686.99393307929,68534.42230864598,52349.61372773948,66813.64992874984,52686.99393307929,68534.42230864598,26,131.95206003109013,0,True,late_suffix_remove,greedy_insert
10,52465.50768253227,68468.8376212722,52349.61372773948,66813.64992874984,52465.50768253227,68468.8376212722,25,163.92353712568,0,True,related_remove,greedy_insert
11,52465.50768253227,68468.8376212722,52349.61372773948,66813.64992874984,52465.50768253227,68468.8376212722,25,163.92353712568,0,True,time_penalty_remove,time_oriented_insert
12,52465.50768253227,68468.8376212722,52349.61372773948,66813.64992874984,54287.47918561321,70447.75314413341,24,232.67283470192638,0,False,actual_late_remove,time_oriented_insert
13,52465.50768253227,68468.8376212722,52349.61372773948,66813.64992874984,54287.47918561321,70447.75314413341,24,232.67283470192638,0,False,actual_late_remove,time_oriented_insert
14,52465.50768253227,68468.8376212722,52349.61372773948,66813.64992874984,52465.50768253227,68468.8376212722,25,163.92353712568,0,True,time_penalty_remove,greedy_insert
15,52880.202643423414,68284.03011732288,52349.61372773948,66813.64992874984,52880.202643423414,68284.03011732288,24,163.92353712568,0,True,midnight_route_remove,time_oriented_insert
16,54134.77609266356,69769.54157015526,52349.61372773948,66813.64992874984,54134.77609266356,69769.54157015526,23,232.67283470192638,0,True,actual_late_remove,time_oriented_insert
17,54148.948720708744,69802.57029991684,52349.61372773948,66813.64992874984,54148.948720708744,69802.57029991684,23,232.67283470192638,0,True,random_remove,greedy_insert
18,54802.99241261749,69767.69045081094,52349.61372773948,66813.64992874984,54802.99241261749,69767.69045081094,21,246.46559957462978,0,True,random_remove,greedy_insert
19,55275.89400244283,69564.22764264556,52349.61372773948,66813.64992874984,55275.89400244283,69564.22764264556,20,246.46559957462978,0,True,midnight_route_remove,time_oriented_insert
20,56457.2831217484,71087.06775872076,52349.61372773948,66813.64992874984,56457.2831217484,71087.06775872076,20,253.00000001314356,0,True,related_remove,time_oriented_insert
21,56195.15424609343,70624.01672261517,52349.61372773948,66813.64992874984,56195.15424609343,70624.01672261517,20,253.00000001314356,0,True,time_penalty_remove,greedy_insert
22,56195.15424609343,70624.01672261517,52349.61372773948,66813.64992874984,56195.15424609343,70624.01672261517,20,253.00000001314356,0,True,time_penalty_remove,regret2_insert
23,55878.36868920046,71704.13769100686,52349.61372773948,66813.64992874984,55878.36868920046,71704.13769100686,23,235.68186854718283,0,True,midnight_route_remove,time_oriented_insert
24,55878.36868920046,71704.13769100686,52349.61372773948,66813.64992874984,55878.36868920046,71704.13769100686,23,235.68186854718283,0,True,time_penalty_remove,regret2_insert
25,55878.36868920046,71704.13769100686,52349.61372773948,66813.64992874984,55878.36868920046,71704.13769100686,23,235.68186854718283,0,True,late_suffix_remove,greedy_insert
26,55878.36868920046,71704.13769100686,52349.61372773948,66813.64992874984,55878.36868920046,71704.13769100686,23,235.68186854718283,0,True,worst_cost_remove,time_oriented_insert
27,55878.36868920046,71704.13769100686,52349.61372773948,66813.64992874984,55878.36868920046,71704.13769100686,23,235.68186854718283,0,True,worst_cost_remove,greedy_insert
28,56427.38056744649,72232.60123652147,52349.61372773948,66813.64992874984,56427.38056744649,72232.60123652147,23,235.68186854718283,0,True,late_route_split,greedy_insert
29,56427.38056744649,72232.60123652147,52349.61372773948,66813.64992874984,56427.38056744649,72232.60123652147,23,235.68186854718283,0,True,late_suffix_remove,time_oriented_insert
30,56686.68530978141,73519.65786595008,52349.61372773948,66813.64992874984,56686.68530978141,73519.65786595008,24,253.00000001314356,0,True,random_remove,greedy_insert
31,58010.88975012644,73544.13767153156,52349.61372773948,66813.64992874984,58010.88975012644,73544.13767153156,22,253.00000001314356,0,True,random_remove,time_oriented_insert
32,58402.30012011497,74732.92375100803,52349.61372773948,66813.64992874984,58402.30012011497,74732.92375100803,23,253.00000001314356,0,True,time_penalty_remove,regret2_insert
33,58402.30012011497,74732.92375100803,52349.61372773948,66813.64992874984,58402.30012011497,74732.92375100803,23,253.00000001314356,0,True,time_penalty_remove,time_oriented_insert
34,58402.30012011497,74732.92375100803,52349.61372773948,66813.64992874984,58402.30012011497,74732.92375100803,23,253.00000001314356,0,True,late_suffix_remove,greedy_insert
35,58402.30012011497,74732.92375100803,52349.61372773948,66813.64992874984,58402.30012011497,74732.92375100803,23,253.00000001314356,0,True,time_penalty_remove,time_oriented_insert
36,58402.30012011497,74732.92375100803,52349.61372773948,66813.64992874984,58402.30012011497,74732.92375100803,23,253.00000001314356,0,True,time_penalty_remove,time_oriented_insert
37,58402.30012011497,74732.92375100803,52349.61372773948,66813.64992874984,58402.30012011497,74732.92375100803,23,253.00000001314356,0,True,late_suffix_remove,time_oriented_insert
38,58402.30012011497,74732.92375100803,52349.61372773948,66813.64992874984,58402.30012011497,74732.92375100803,23,253.00000001314356,0,True,time_penalty_remove,time_oriented_insert
