route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_id,customer_id,arrival_min,is_green_zone,is_fuel_vehicle,would_violate_problem2_policy
1,T0001,E1-001,E1,132,76,570.1891373403494,False,False,False
1,T0001,E1-001,E1,45,37,660.9922760581544,False,False,False
1,T0001,E1-001,E1,142,86,774.330472262419,False,False,False
2,T0002,F1-001,F1,116,66,581.4147881564706,False,True,False
3,T0003,E1-002,E1,25,16,577.8001369706616,False,False,False
3,T0003,E1-002,E1,30,27,642.0277335975823,False,False,False
4,T0004,E1-003,E1,42,35,666.6262132769559,False,False,False
4,T0004,E1-003,E1,46,38,813.2132171017788,False,False,False
5,T0005,E1-004,E1,135,79,610.1462769288903,False,False,False
5,T0005,E1-004,E1,141,85,647.9651176854292,False,False,False
5,T0005,E1-004,E1,144,88,792.6544224120167,False,False,False
6,T0006,E1-005,E1,18,9,606.0,True,False,False
7,T0007,E1-006,E1,51,42,614.0000000000001,False,False,False
7,T0007,E1-006,E1,40,33,646.2692135396488,False,False,False
7,T0007,E1-006,E1,143,87,761.3746906039714,False,False,False
8,T0008,F1-002,F1,52,42,614.0000000000001,False,True,False
9,T0009,F1-003,F1,53,42,614.0000000000001,False,True,False
10,T0010,F1-004,F1,97,60,623.0,False,True,False
10,T0010,F1-004,F1,35,30,721.8953573504223,False,True,False
11,T0011,F1-005,F1,98,60,623.0,False,True,False
12,T0012,F1-006,F1,99,60,623.0,False,True,False
13,T0013,F1-007,F1,100,60,623.0,False,True,False
14,T0014,E1-007,E1,12,8,649.0,True,False,False
14,T0014,E1-007,E1,13,8,669.0,True,False,False
15,T0015,E1-008,E1,14,8,649.0,True,False,False
15,T0015,E1-008,E1,24,13,680.0996173869062,True,False,False
16,T0016,E1-009,E1,15,8,649.0,True,False,False
17,T0017,E1-010,E1,16,8,649.0,True,False,False
18,T0018,E1-005,E1,17,8,802.7819471234159,True,False,False
19,T0019,F1-008,F1,60,46,672.0,False,True,False
20,T0020,F1-009,F1,61,46,672.0,False,True,False
21,T0021,F1-010,F1,94,59,675.0,False,True,False
22,T0022,F1-011,F1,95,59,675.0,False,True,False
23,T0023,F1-012,F1,96,59,675.0,False,True,False
24,T0024,E1-009,E1,22,11,848.7023280154174,True,False,False
24,T0024,E1-009,E1,6,6,881.3266537555179,True,False,False
25,T0025,E2-001,E2,21,11,689.0,True,False,False
26,T0026,F1-013,F1,122,70,702.4934890539674,False,True,False
27,T0027,F1-014,F1,123,70,702.4934890539674,False,True,False
28,T0028,F1-015,F1,138,82,701.0000000000001,False,True,False
29,T0029,E1-010,E1,7,6,830.5340858304745,True,False,False
29,T0029,E1-010,E1,5,6,850.5340858304745,True,False,False
30,T0030,F1-001,F1,101,61,821.1524604497546,False,True,False
31,T0031,F1-005,F1,102,61,815.6610355490213,False,True,False
32,T0032,F1-006,F1,103,61,815.6610355490213,False,True,False
33,T0033,F1-016,F1,50,41,758.0000000000007,False,True,False
33,T0033,F1-016,F1,150,94,865.0291306983252,False,True,False
33,T0033,F1-016,F1,149,93,917.1937308579957,False,True,False
34,T0034,E1-007,E1,9,7,866.7343674573797,True,False,False
34,T0034,E1-007,E1,2,3,915.3720040019454,True,False,False
34,T0034,E1-007,E1,1,2,961.5350534997729,True,False,False
35,T0035,E1-008,E1,8,7,887.1351694844433,True,False,False
35,T0035,E1-008,E1,23,12,934.5010730700578,True,False,False
36,T0036,E1-001,E1,10,7,891.8993055180897,True,False,False
37,T0037,E1-004,E1,11,7,896.6248294012358,True,False,False
38,T0038,F1-007,F1,66,49,786.0,False,True,False
38,T0038,F1-007,F1,39,32,878.9086959833287,False,True,False
38,T0038,F1-007,F1,152,97,969.9677546018409,False,True,False
39,T0039,F1-002,F1,67,49,814.2381260469958,False,True,False
40,T0040,F1-017,F1,128,74,791.0,False,True,False
41,T0041,F1-018,F1,129,74,791.0,False,True,False
42,T0042,F1-019,F1,127,73,802.0,False,True,False
43,T0043,F1-003,F1,139,83,828.0,False,True,False
43,T0043,F1-003,F1,146,90,991.1753108655261,False,True,False
43,T0043,F1-003,F1,26,19,1068.496554491396,False,True,False
43,T0043,F1-003,F1,125,71,1217.1088020956965,False,True,False
44,T0044,F1-020,F1,87,56,830.0000000000001,False,True,False
44,T0044,F1-020,F1,151,95,909.4952475846206,False,True,False
45,T0045,F1-004,F1,88,56,878.4473424504152,False,True,False
46,T0046,F1-021,F1,89,56,830.0000000000001,False,True,False
47,T0047,F1-022,F1,47,39,848.0,False,True,False
48,T0048,F1-023,F1,48,39,848.0,False,True,False
49,T0049,F1-008,F1,110,64,887.738344668904,False,True,False
50,T0050,F1-009,F1,111,64,887.738344668904,False,True,False
51,T0051,F1-015,F1,112,64,886.7589409275292,False,True,False
52,T0052,F1-024,F1,93,58,858.0,False,True,False
53,T0053,F1-002,F1,130,75,941.6755453486437,False,True,False
54,T0054,F1-010,F1,131,75,944.1781113036038,False,True,False
55,T0055,F1-011,F1,90,57,886.7096577771233,False,True,False
56,T0056,F1-012,F1,91,57,886.7096577771233,False,True,False
57,T0057,F1-017,F1,92,57,923.6683671387525,False,True,False
58,T0058,F1-018,F1,148,92,902.1886124030112,False,True,False
59,T0059,E1-005,E1,73,52,986.3490097945219,False,False,False
60,T0060,F1-025,F1,74,52,905.0000000000003,False,True,False
61,T0061,F1-026,F1,75,52,905.0000000000003,False,True,False
62,T0062,E1-006,E1,43,36,968.3869560203618,False,False,False
63,T0063,F1-027,F1,44,36,916.0000000000006,False,True,False
64,T0064,F1-028,F1,58,45,937.0,False,True,False
64,T0064,F1-028,F1,29,26,1003.3077423264461,False,True,False
64,T0064,F1-028,F1,145,89,1076.0123413969598,False,True,False
65,T0065,E1-003,E1,59,45,983.7221882264053,False,False,False
65,T0065,E1-003,E1,147,91,1064.6824761000714,False,False,False
66,T0066,F1-005,F1,121,69,995.5710092593764,False,True,False
67,T0067,F1-006,F1,107,63,975.939469789047,False,True,False
68,T0068,F1-001,F1,108,63,984.5178821339778,False,True,False
69,T0069,F1-013,F1,109,63,980.3860048884069,False,True,False
70,T0070,F1-021,F1,113,65,1031.8743074678273,False,True,False
71,T0071,F1-011,F1,114,65,1031.4453533946676,False,True,False
72,T0072,F1-012,F1,115,65,1031.4453533946676,False,True,False
73,T0073,F1-018,F1,63,48,1012.4638810031568,False,True,False
74,T0074,F1-024,F1,64,48,1026.6476389381924,False,True,False
75,T0075,F1-014,F1,65,48,966.0,False,True,False
76,T0076,F1-029,F1,140,84,974.0000000000001,False,True,False
76,T0076,F1-029,F1,27,24,1042.7991309219287,False,True,False
77,T0077,F1-019,F1,28,25,979.0,False,True,False
78,T0078,E1-009,E1,36,31,1059.3718815828568,False,False,False
79,T0079,E1-010,E1,37,31,1012.0151415681648,False,False,False
80,T0080,F1-030,F1,38,31,1009.0,False,True,False
81,T0081,F1-008,F1,54,43,1055.3021014341382,False,True,False
82,T0082,F1-009,F1,55,43,1055.3021014341382,False,True,False
83,T0083,F1-015,F1,56,44,1067.5012782263582,False,True,False
84,T0084,F1-017,F1,57,44,1073.364454764231,False,True,False
85,T0085,F1-031,F1,137,81,1024.0000000000005,False,True,False
85,T0085,F1-031,F1,31,27,1088.9050987091073,False,True,False
86,T0086,F1-032,F1,79,54,1040.0000000000002,False,True,False
86,T0086,F1-032,F1,136,80,1165.4925030698698,False,True,False
87,T0087,F1-033,F1,80,54,1040.0000000000002,False,True,False
88,T0088,F1-034,F1,81,54,1040.0000000000002,False,True,False
89,T0089,F1-022,F1,71,51,1082.1354824910484,False,True,False
89,T0089,F1-022,F1,34,29,1139.9129151421928,False,True,False
90,T0090,F1-004,F1,72,51,1101.5075576224926,False,True,False
91,T0091,F1-014,F1,49,40,1138.9200474761587,False,True,False
92,T0092,E1-001,E1,82,55,1129.2654632579836,False,False,False
93,T0093,E1-004,E1,83,55,1133.9909871411296,False,False,False
94,T0094,E1-008,E1,84,55,1125.1277251265228,False,False,False
95,T0095,F1-023,F1,85,55,1126.499414880661,False,True,False
96,T0096,F1-027,F1,86,55,1141.8010537291661,False,True,False
97,T0097,F1-001,F1,76,53,1119.5915979020003,False,True,False
98,T0098,F1-002,F1,77,53,1112.8361641386691,False,True,False
99,T0099,F1-006,F1,78,53,1111.0131855570696,False,True,False
100,T0100,F1-007,F1,118,68,1182.9530109531665,False,True,False
101,T0101,F1-010,F1,119,68,1166.482607958014,False,True,False
102,T0102,F1-013,F1,120,68,1166.603598520814,False,True,False
103,T0103,F1-005,F1,117,67,1201.5313819122075,False,True,False
104,T0104,F1-006,F1,62,47,1194.1384842183963,False,True,False
105,T0105,F1-016,F1,41,34,1161.1036812172215,False,True,False
106,T0106,F1-035,F1,133,77,1136.0,False,True,False
106,T0106,F1-035,F1,153,98,1178.5483327314223,False,True,False
106,T0106,F1-035,F1,4,5,1257.5955842286073,True,True,False
107,T0107,F1-018,F1,104,62,1175.9469822580302,False,True,False
108,T0108,F1-019,F1,105,62,1151.0,False,True,False
109,T0109,F1-020,F1,106,62,1190.7592336036323,False,True,False
110,T0110,F1-008,F1,126,72,1211.1035744227522,False,True,False
111,T0111,E1-006,E1,3,4,1169.0,True,False,False
111,T0111,E1-006,E1,124,71,1237.0971292579452,False,False,False
112,T0112,F1-011,F1,32,28,1228.969381450474,False,True,False
113,T0113,F1-012,F1,33,28,1228.969381450474,False,True,False
114,T0114,E1-010,E1,19,10,1204.468024342912,True,False,False
115,T0115,F1-009,F1,20,10,1223.992251061109,True,True,False
116,T0116,F1-021,F1,134,78,1248.4293950853178,False,True,False
117,T0117,F1-024,F1,68,50,1226.7661397124425,False,True,False
118,T0118,F1-025,F1,69,50,1209.0,False,True,False
119,T0119,F1-026,F1,70,50,1209.0,False,True,False
