route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_sequence,customer_sequence,depart_min,depart_time,return_min,return_time,total_weight_kg,total_volume_m3,total_distance_km,fixed_cost,energy_cost,carbon_cost,penalty_cost,total_cost
1,T0001,E1-001,E1,132->45->142,76->37->86,480.0,08:00,824.4099090611318,13:44,2354.1457,8.60877,129.4638580523421,400.0,81.95347357216767,16.273261383400246,81.10229026714451,579.3290252227125
2,T0002,F1-001,F1,116,66,480.0,08:00,682.7209402766069,11:23,2791.0139,8.6796,95.9412595017608,400.0,225.54138664416678,49.066365658180075,0.0,674.6077523023469
3,T0003,E1-002,E1,25->30,16->27,480.0,08:00,1223.8881283407438,20:24,1702.00205,4.012955,149.8670252102791,400.0,90.96744108414747,18.063138529910137,142.99075546747258,652.0213350815302
4,T0004,E1-003,E1,42->46,35->38,480.0,08:00,911.9326410320188,15:12,2954.3112,7.95163,220.3069248755577,400.0,146.64013618218235,29.117902651053466,111.53285864894562,687.2908974821814
5,T0005,E1-004,E1,135->141->144,79->85->88,480.0,08:00,829.1354329442779,13:49,2988.561,9.32495,136.15315736364278,400.0,90.53033114538987,17.976342888717202,94.71201867668063,603.2186927107878
6,T0006,E1-005,E1,18,9,559.9747779457219,09:20,706.3464060817935,11:46,2506.7093,6.65072,80.8598259867192,400.0,51.4187369830244,10.210068108854816,0.0,461.62880509187926
7,T0007,E1-006,E1,51->40->143,42->33->87,541.0761122960852,09:01,883.6914882645717,14:44,2821.4913666666666,6.853523333333333,189.7680311429433,400.0,117.56937229931606,23.34540615199529,0.0,540.9147784513113
8,T0008,F1-002,F1,52,42,541.0761122960852,09:01,796.0884446659403,13:16,2113.9337666666665,5.0089733333333335,125.1363663342164,400.0,281.46924735329105,61.23343133452576,0.0,742.7026786878168
9,T0009,F1-003,F1,53,42,541.0761122960852,09:01,796.0884446659403,13:16,2113.9337666666665,5.0089733333333335,125.1363663342164,400.0,281.46924735329105,61.23343133452576,0.0,742.7026786878168
10,T0010,F1-004,F1,97->35,60->30,594.7876041811693,09:55,791.1577520526196,13:11,2811.5092999999997,7.236177499999999,67.8211529548534,400.0,152.60924301950084,33.200030523118876,0.0,585.8092735426197
11,T0011,F1-005,F1,98,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,84.1096062784961,18.297984057078082,0.0,502.40759033557424
12,T0012,F1-006,F1,99,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,84.1096062784961,18.297984057078082,0.0,502.40759033557424
13,T0013,F1-007,F1,100,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,84.1096062784961,18.297984057078082,0.0,502.40759033557424
14,T0014,E1-007,E1,12->13,8->8,595.5326058531044,09:56,799.2449710004217,13:19,2500.0,7.665614619323725,66.0548965441108,400.0,42.260338506477545,8.391511728435617,0.0,450.6518502349131
15,T0015,E1-008,E1,14->24,8->13,595.5326058531044,09:56,819.6457730274853,13:40,2852.475205,8.369531345169069,81.01641000399565,400.0,51.31654601563412,10.189776347555643,16.633460871031275,478.13978323422106
16,T0016,E1-009,E1,15,8,595.5326058531044,09:56,786.4420776911993,13:06,2312.388405,7.090351345169069,66.0548965441108,400.0,41.84069022302833,8.308183397029987,0.0,450.14887362005834
