route_index,trip_id,physical_vehicle_id,vehicle_type,stop_index,service_node_id,customer_id,earliest_min,latest_min,arrival_min,arrival_time,wait_min,late_min,service_start_min,departure_min,departure_time,load_before_service_kg,load_after_service_kg,penalty_cost
1,T0001,E1-001,E1,1,132,76,549.0,625.0,570.1891373403494,09:30,0.0,0.0,570.1891373403494,590.1891373403494,09:50,2354.1457,1097.844,0.0
1,T0001,E1-001,E1,2,45,37,565.0,643.0,660.9922760581544,11:01,0.0,17.992276058154403,660.9922760581544,680.9922760581544,11:21,1097.844,532.8950000000001,14.993563381795337
1,T0001,E1-001,E1,3,142,86,606.0,695.0,774.330472262419,12:54,0.0,79.330472262419,774.330472262419,794.330472262419,13:14,532.8950000000001,1.1368683772161603e-13,66.10872688534917
2,T0002,F1-001,F1,1,116,66,550.0,633.0,581.4147881564706,09:41,0.0,0.0,581.4147881564706,601.4147881564706,10:01,2791.0139,0.0,0.0
3,T0003,E1-002,E1,1,25,16,557.0,641.0,577.8001369706616,09:38,0.0,0.0,577.8001369706616,597.8001369706616,09:58,1702.00205,1616.80205,0.0
3,T0003,E1-002,E1,2,30,27,1071.0,1147.0,642.0277335975823,10:42,428.97226640241774,0.0,1071.0,1091.0,18:11,1616.80205,0.0,142.99075546747258
4,T0004,E1-003,E1,1,42,35,569.0,652.0,666.6262132769559,11:07,0.0,14.626213276955923,666.6262132769559,686.6262132769559,11:27,2954.3112,1261.7326,12.188511064129937
4,T0004,E1-003,E1,2,46,38,628.0,694.0,813.2132171017788,13:33,0.0,119.21321710177881,813.2132171017788,833.2132171017788,13:53,1261.7326,0.0,99.34434758481568
5,T0005,E1-004,E1,1,135,79,575.0,645.0,610.1462769288903,10:10,0.0,0.0,610.1462769288903,630.1462769288903,10:30,2988.561,673.431,0.0
5,T0005,E1-004,E1,2,141,85,591.0,662.0,647.9651176854292,10:48,0.0,0.0,647.9651176854292,667.9651176854292,11:08,673.431,79.60070000000007,0.0
5,T0005,E1-004,E1,3,144,88,604.0,679.0,792.6544224120167,13:13,0.0,113.65442241201674,792.6544224120167,812.6544224120167,13:33,79.60070000000007,7.105427357601002e-14,94.71201867668063
6,T0006,E1-005,E1,1,18,9,606.0,692.0,606.0,10:06,0.0,0.0,606.0,626.0,10:26,2506.7093,0.0,0.0
7,T0007,E1-006,E1,1,51,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2821.4913666666666,707.5576000000001,0.0
7,T0007,E1-006,E1,2,40,33,646.0,731.0,646.2692135396488,10:46,0.0,0.0,646.2692135396488,666.2692135396488,11:06,707.5576000000001,180.29100000000005,0.0
7,T0007,E1-006,E1,3,143,87,678.0,762.0,761.3746906039714,12:41,0.0,0.0,761.3746906039714,781.3746906039714,13:01,180.29100000000005,5.684341886080802e-14,0.0
8,T0008,F1-002,F1,1,52,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2113.9337666666665,0.0,0.0
9,T0009,F1-003,F1,1,53,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2113.9337666666665,0.0,0.0
