iteration,current_cost,current_score,best_cost,best_score,candidate_cost,candidate_score,candidate_late_stop_count,candidate_max_late_min,candidate_return_after_midnight_count,accepted,destroy_operator,repair_operator
0,54180.95766161614,1074884.1256480082,54180.95766161614,1074884.1256480082,54180.95766161614,1074884.1256480082,33,198.27503605399227,1,True,initial,initial
1,54408.44246777922,1074463.8619878476,54180.95766161614,1074884.1256480082,54408.44246777922,1074463.8619878476,32,198.27503605399227,1,True,green_fuel_route_split,greedy_insert
2,54488.775316061314,1073999.099218685,54180.95766161614,1074884.1256480082,54488.775316061314,1073999.099218685,31,198.27503605399227,1,True,green_fuel_route_split,post_16_fuel_repair
3,54488.775316061314,1073999.099218685,54180.95766161614,1074884.1256480082,56116.12773061102,1077076.0293650082,33,214.53101117701613,1,False,random_remove,time_oriented_insert
4,54687.85668816202,73702.78634562172,54180.95766161614,1074884.1256480082,54687.85668816202,73702.78634562172,30,198.27503605399227,0,True,midnight_route_remove,post_16_fuel_repair
5,54687.85668816202,73702.78634562172,54180.95766161614,1074884.1256480082,54691.233585267786,1073092.7578833846,29,198.27503605399227,1,False,green_fuel_route_split,time_oriented_insert
6,54687.85668816202,73702.78634562172,54180.95766161614,1074884.1256480082,54691.233585267786,1073092.7578833846,29,198.27503605399227,1,False,green_fuel_route_split,greedy_insert
7,54687.85668816202,73702.78634562172,54180.95766161614,1074884.1256480082,54691.233585267786,1073092.7578833846,29,198.27503605399227,1,False,green_fuel_route_split,regret2_insert
8,54132.40520930181,73191.16922001806,54132.40520930181,73191.16922001806,54132.40520930181,73191.16922001806,30,198.27503605399227,0,True,worst_cost_remove,greedy_insert
9,55143.896295045175,75492.4872478586,54132.40520930181,73191.16922001806,55143.896295045175,75492.4872478586,31,268.0000002929088,0,True,random_remove,post_16_fuel_repair
10,54349.047807574585,75731.84725524558,54132.40520930181,73191.16922001806,54349.047807574585,75731.84725524558,33,268.0000002929088,0,True,time_penalty_remove,ev_priority_insert
11,54349.047807574585,75731.84725524558,54071.078126023625,1070595.080942478,54071.078126023625,1070595.080942478,24,268.0000002929088,1,False,actual_late_remove,post_16_fuel_repair
