route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_id,customer_id,earliest_min,latest_min,arrival_min,late_min,route_depart_min,route_return_min,trip_position_on_vehicle,direct_arrival_from_depot_0800,direct_late_min,fresh_route_arrival_min,fresh_route_late_min,same_customer_split_count,is_green_zone,classification
1,T0001,E1-001,E1,40,37,565.0,643.0,660.9922760581544,17.992276058154403,480.0,824.4099090611318,1,595.3427621622285,0.0,660.9922760581544,17.992276058154403,1,False,Type C route-order/local-optimum
1,T0001,E1-001,E1,137,86,606.0,695.0,774.330472262419,79.330472262419,480.0,824.4099090611318,1,559.4465254063077,0.0,774.330472262419,79.330472262419,1,False,Type C route-order/local-optimum
4,T0004,E1-004,E1,37,35,569.0,652.0,666.6262132769559,14.626213276955923,480.0,862.7339899240231,1,666.6262132769559,14.626213276955923,666.6262132769559,14.626213276955923,1,False,Type A direct-infeasible
5,T0005,E1-005,E1,139,88,604.0,679.0,792.6544224120167,113.65442241201674,480.0,829.1354329442779,1,545.8480991398561,0.0,792.6544224120167,113.65442241201674,1,False,Type C route-order/local-optimum
15,T0015,E1-010,E1,10,8,649.0,707.0,789.7340395136467,82.73403951364674,674.1425279316762,845.5685222681373,2,565.2015713620855,0.0,649.0,0.0,4,True,Type B multi-trip cascade
16,T0016,E1-002,E1,11,8,649.0,707.0,795.2254644143799,88.22546441437987,682.7209402766069,851.0599471688704,2,565.2015713620855,0.0,649.0,0.0,4,True,Type B multi-trip cascade
17,T0017,E1-006,E1,12,8,649.0,707.0,802.7819471234159,95.78194712341588,706.3464060817935,858.6164298779064,2,565.2015713620855,0.0,649.0,0.0,4,True,Type B multi-trip cascade
18,T0018,E1-008,E1,13,8,649.0,707.0,831.9229274204308,124.92292742043082,796.0884446659403,887.7574101749213,2,565.2015713620855,0.0,649.0,0.0,4,True,Type B multi-trip cascade
24,T0024,E1-009,E1,17,11,689.0,770.0,858.3486949901584,88.34869499015838,796.0884446659403,1223.8881283407438,2,591.627338931813,0.0,689.0,0.0,1,True,Type B multi-trip cascade
29,T0029,E1-001,E1,5,6,706.0,779.0,868.501917200407,89.50191720040698,824.4099090611318,1020.91790507315,2,573.4590967468702,0.0,706.0000000000006,0.0,2,True,Type B multi-trip cascade
29,T0029,E1-001,E1,19,13,730.0,786.0,930.6802991855811,144.68029918558113,824.4099090611318,1020.91790507315,2,574.3293173312827,0.0,801.5682924048295,15.568292404829549,1,True,Type C route-order/local-optimum
30,T0030,E1-005,E1,6,6,706.0,779.0,873.2274410835531,94.22744108355312,829.1354329442779,958.298461639051,2,573.4590967468702,0.0,706.0000000000006,0.0,2,True,Type B multi-trip cascade
34,T0034,F1-014,F1,145,94,763.0,837.0,865.0291306983252,28.02913069832516,613.892033867095,963.2936332773467,1,584.8550396094157,0.0,865.0291306983252,28.02913069832516,1,False,Type C route-order/local-optimum
35,T0035,E1-010,E1,7,7,761.0,848.0,920.3983871609538,72.3983871609538,845.5685222681373,1045.8267381233768,3,596.8564850645529,0.0,761.0000000000008,0.0,3,True,Type B multi-trip cascade
36,T0036,E1-002,E1,8,7,761.0,848.0,928.9767995058844,80.9767995058844,851.0599471688704,1054.4051504683075,3,596.8564850645529,0.0,761.0000000000008,0.0,3,True,Type B multi-trip cascade
37,T0037,E1-006,E1,9,7,761.0,848.0,940.7811354892091,92.78113548920908,858.6164298779064,1066.209486451632,3,596.8564850645529,0.0,761.0000000000008,0.0,3,True,Type B multi-trip cascade
38,T0038,E1-004,E1,144,93,772.0,854.0,982.5103518439195,128.51035184391947,862.7339899240231,1432.3231713304217,2,630.3863506349229,0.0,772.0000000000009,0.0,1,False,Type B multi-trip cascade
38,T0038,E1-004,E1,21,19,1155.0,1228.0,1240.3485287800422,12.348528780042216,862.7339899240231,1432.3231713304217,2,733.2078749771572,0.0,1240.3485287800422,12.348528780042216,1,False,Type C route-order/local-optimum
38,T0038,E1-004,E1,4,5,1168.0,1226.0,1339.4053593429303,113.4053593429303,862.7339899240231,1432.3231713304217,2,576.0450369684846,0.0,1339.4053593429303,113.4053593429303,1,True,Type C route-order/local-optimum
45,T0045,F1-020,F1,2,3,873.0,921.0,960.0000000257745,39.00000002577451,672.3012233044124,1097.6832548178927,1,607.3442717412706,0.0,944.3622131903427,23.362213190342686,1,True,Type C route-order/local-optimum
61,T0061,F1-010,F1,18,12,895.0,950.0,960.0000000025575,10.000000002557499,901.3111547235633,1038.6888452815517,2,566.9364398350162,0.0,895.0000000000001,0.0,1,True,Type B multi-trip cascade
67,T0067,F1-018,F1,140,89,971.0,1033.0,1083.3570498120737,50.35704981207368,882.4313328610082,1247.7203028873669,2,634.0242700244457,0.0,1076.0123413969598,43.012341396959755,1,False,Type C route-order/local-optimum
80,T0080,E1-007,E1,142,91,1000.0,1079.0,1095.8006762331916,16.800676233191552,996.7501209047173,1303.3438429177193,3,592.7737732120794,0.0,1000.0000000000002,0.0,1,False,Type B multi-trip cascade
87,T0087,F1-032,F1,131,80,1061.0,1114.0,1165.4925030698698,51.49250306986983,885.3466808910598,1271.5112977535468,1,584.4315611537463,0.0,1165.4925030698698,51.49250306986983,1,False,Type C route-order/local-optimum
102,T0102,F1-029,F1,36,34,1135.0,1208.0,1316.3228196100931,108.32281961009312,1046.6418174178618,1419.5074362835487,2,582.6172772195357,0.0,1294.4292895652438,86.42928956524383,1,False,Type C route-order/local-optimum
113,T0113,E1-008,E1,15,10,1180.0,1229.0,1237.1961389835787,8.196138983578749,1153.9102905304665,1340.481987436691,5,582.6820802032581,0.0,1180.0000000000002,0.0,2,True,Type B multi-trip cascade
114,T0114,E1-001,E1,16,10,1180.0,1229.0,1255.0123558739795,26.01235587397946,1171.7265074208672,1358.2982043270918,4,582.6820802032581,0.0,1180.0000000000002,0.0,2,True,Type B multi-trip cascade
