iteration,current_cost,current_score,best_cost,best_score,candidate_cost,candidate_score,candidate_late_stop_count,candidate_max_late_min,candidate_return_after_midnight_count,accepted,destroy_operator,repair_operator
0,57892.027321017355,1070812.60251948,57892.027321017355,1070812.60251948,57892.027321017355,1070812.60251948,21,168.1058102026077,1,True,initial,initial
1,59353.72590010944,1071012.321278729,57892.027321017355,1070812.60251948,59353.72590010944,1071012.321278729,19,168.1058102026077,1,True,green_fuel_route_split,greedy_insert
2,59353.72590010944,1071012.321278729,57892.027321017355,1070812.60251948,61683.620106627975,1078157.6284977766,27,168.1058102026077,1,False,random_remove,greedy_insert
3,58615.74723573797,1068793.5861499526,57892.027321017355,1070812.60251948,58615.74723573797,1068793.5861499526,17,119.21321710177881,1,True,worst_cost_remove,greedy_insert
4,59511.11507672426,1069862.148043553,57892.027321017355,1070812.60251948,59511.11507672426,1069862.148043553,17,139.81638105961986,1,True,random_remove,post_16_fuel_repair
5,58957.738735088686,64748.337360579,57892.027321017355,1070812.60251948,58957.738735088686,64748.337360579,9,112.00000001950355,0,True,actual_late_remove,time_oriented_insert
6,61369.753592063054,67982.64778808827,57892.027321017355,1070812.60251948,61369.753592063054,67982.64778808827,9,181.59739687375895,0,True,time_penalty_remove,ev_priority_insert
7,61369.753592063054,67982.64778808827,57892.027321017355,1070812.60251948,62762.5591520922,71839.30495738803,12,253.00000001314356,0,False,actual_late_remove,post_16_fuel_repair
8,60754.9617269713,66635.41082543686,57892.027321017355,1070812.60251948,60754.9617269713,66635.41082543686,9,112.00000001950355,0,True,late_route_split,ev_priority_insert
9,61637.88423297041,68254.53861477491,57892.027321017355,1070812.60251948,61637.88423297041,68254.53861477491,10,112.00000001950355,0,True,worst_cost_remove,post_16_fuel_repair
10,59751.076426280335,66343.22279567484,57892.027321017355,1070812.60251948,59751.076426280335,66343.22279567484,10,112.00000001950355,0,True,actual_late_remove,regret2_insert
11,59751.076426280335,66343.22279567484,57892.027321017355,1070812.60251948,60997.70898802693,70097.1770122356,13,190.00000001000217,0,False,worst_cost_remove,ev_priority_insert
12,59632.74493742794,66744.66378506817,57892.027321017355,1070812.60251948,59632.74493742794,66744.66378506817,11,112.00000001950355,0,True,late_suffix_remove,time_oriented_insert
