route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_sequence,customer_sequence,depart_min,depart_time,return_min,return_time,total_weight_kg,total_volume_m3,total_distance_km,fixed_cost,energy_cost,carbon_cost,penalty_cost,total_cost
1,T0001,E1-001,E1,145->58->155,76->37->86,480.0,08:00,824.4099090611318,13:44,2354.1457,8.60877,129.4638580523421,400.0,81.95347357216767,16.273261383400246,81.10229026714451,579.3290252227125
2,T0002,E1-002,E1,129->38,66->16,480.0,08:00,758.5884437950225,12:39,2876.2138999999997,8.8727,99.63868389174975,400.0,64.72867189230605,12.852982927883822,0.0,477.5816548201899
3,T0003,E1-003,E1,55,35,480.0,08:00,875.1742477397555,14:35,1692.5786,3.88436,208.818931666808,400.0,127.81554239936699,25.37995815997187,12.188511064129937,565.3840116234688
4,T0004,E1-004,E1,148->154->157,79->85->88,480.0,08:00,829.1354329442779,13:49,2988.561,9.32495,136.15315736364278,400.0,90.53033114538987,17.976342888717202,94.71201867668063,603.2186927107878
5,T0005,E1-005,E1,26,9,559.9747779457219,09:20,706.3464060817935,11:46,835.5697666666666,2.2169066666666666,80.8598259867192,400.0,47.04590178736465,9.341767022594695,0.0,456.38766880995934
6,T0006,E1-006,E1,27,9,559.9747779457219,09:20,706.3464060817935,11:46,835.5697666666666,2.2169066666666666,80.8598259867192,400.0,47.04590178736465,9.341767022594695,0.0,456.38766880995934
7,T0007,E1-007,E1,28,9,559.9747779457219,09:20,706.3464060817935,11:46,835.5697666666666,2.2169066666666666,80.8598259867192,400.0,47.04590178736465,9.341767022594695,0.0,456.38766880995934
8,T0008,E1-008,E1,64->53->156,42->33->87,541.0761122960852,09:01,883.6914882645717,14:44,2821.4913666666666,6.853523333333333,189.7680311429433,400.0,117.56937229931606,23.34540615199529,0.0,540.9147784513113
9,T0009,E1-009,E1,65,42,541.0761122960852,09:01,796.0884446659403,13:16,2113.9337666666665,5.0089733333333335,125.1363663342164,400.0,78.25292080410082,15.538453451131364,0.0,493.7913742552322
10,T0010,E1-010,E1,66,42,541.0761122960852,09:01,796.0884446659403,13:16,2113.9337666666665,5.0089733333333335,125.1363663342164,400.0,78.25292080410082,15.538453451131364,0.0,493.7913742552322
11,T0011,F1-001,F1,110->48,60->30,594.7876041811693,09:55,791.1577520526196,13:11,2811.5092999999997,7.236177499999999,67.8211529548534,400.0,152.60924301950084,33.200030523118876,0.0,585.8092735426197
12,T0012,F1-002,F1,111,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,84.1096062784961,18.297984057078082,0.0,502.40759033557424
13,T0013,F1-003,F1,112,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,84.1096062784961,18.297984057078082,0.0,502.40759033557424
14,T0014,F1-004,F1,113,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,84.1096062784961,18.297984057078082,0.0,502.40759033557424
15,T0015,F1-005,F1,59,38,543.4986512331809,09:03,811.5899563617558,13:32,1261.7326,4.06727,137.1908195601698,400.0,292.95130399493604,63.73134445845156,0.0,756.6826484533876
16,T0016,E2-001,E2,16,8,595.5326058531044,09:56,786.4420776911993,13:06,1174.9553620000002,3.602702,66.0548965441108,400.0,42.92296898993162,8.523088324128802,0.0,451.44605731406045
17,T0017,E2-002,E2,17,8,595.5326058531044,09:56,786.4420776911993,13:06,1174.9553620000002,3.602702,66.0548965441108,400.0,42.92296898993162,8.523088324128802,0.0,451.44605731406045
18,T0018,E2-003,E2,18,8,595.5326058531044,09:56,786.4420776911993,13:06,1174.9553620000002,3.602702,66.0548965441108,400.0,42.92296898993162,8.523088324128802,0.0,451.44605731406045
19,T0019,E2-004,E2,19,8,595.5326058531044,09:56,786.4420776911993,13:06,1174.9553620000002,3.602702,66.0548965441108,400.0,42.92296898993162,8.523088324128802,0.0,451.44605731406045
20,T0020,E2-005,E2,20,8,595.5326058531044,09:56,786.4420776911993,13:06,1174.9553620000002,3.602702,66.0548965441108,400.0,42.92296898993162,8.523088324128802,0.0,451.44605731406045
21,T0021,E2-006,E2,21,8,595.5326058531044,09:56,786.4420776911993,13:06,1174.9553620000002,3.602702,66.0548965441108,400.0,42.92296898993162,8.523088324128802,0.0,451.44605731406045
22,T0022,E2-007,E2,22,8,595.5326058531044,09:56,786.4420776911993,13:06,1174.9553620000002,3.602702,66.0548965441108,400.0,42.92296898993162,8.523088324128802,0.0,451.44605731406045
23,T0023,E2-008,E2,23,8,595.5326058531044,09:56,786.4420776911993,13:06,1174.9553620000002,3.602702,66.0548965441108,400.0,42.92296898993162,8.523088324128802,0.0,451.44605731406045
24,T0024,E2-009,E2,24,8,595.5326058531044,09:56,786.4420776911993,13:06,1174.9553620000002,3.602702,66.0548965441108,400.0,42.92296898993162,8.523088324128802,0.0,451.44605731406045
25,T0025,E2-010,E2,25,8,595.5326058531044,09:56,786.4420776911993,13:06,1174.9553620000002,3.602702,66.0548965441108,400.0,42.92296898993162,8.523088324128802,0.0,451.44605731406045
