iteration,current_cost,current_score,best_cost,best_score,candidate_cost,candidate_score,candidate_late_stop_count,candidate_max_late_min,candidate_return_after_midnight_count,accepted,destroy_operator,repair_operator
0,54180.95766161614,1074884.1256480082,54180.95766161614,1074884.1256480082,54180.95766161614,1074884.1256480082,33,198.27503605399227,1,True,initial,initial
1,55028.221803385284,1076354.690706676,54180.95766161614,1074884.1256480082,55028.221803385284,1076354.690706676,34,198.27503605399227,1,True,random_remove,regret2_insert
2,54856.553151183296,75123.48242951803,54180.95766161614,1074884.1256480082,54856.553151183296,75123.48242951803,32,198.27503605399227,0,True,midnight_route_remove,regret2_insert
3,53933.88957397322,72847.0417768866,53933.88957397322,72847.0417768866,53933.88957397322,72847.0417768866,30,198.27503605399227,0,True,related_remove,greedy_insert
4,54233.45826829263,72665.7362070365,53933.88957397322,72847.0417768866,54233.45826829263,72665.7362070365,30,168.1058102026077,0,True,late_suffix_remove,greedy_insert
5,53443.18116889594,69610.63162035658,53443.18116889594,69610.63162035658,53443.18116889594,69610.63162035658,26,147.74846632346407,0,True,late_route_split,greedy_insert
6,53141.72288304936,69822.37866024344,53141.72288304936,69822.37866024344,53141.72288304936,69822.37866024344,27,147.74846632346407,0,True,time_penalty_remove,time_oriented_insert
7,53141.72288304936,69822.37866024344,53141.72288304936,69822.37866024344,53141.72288304936,69822.37866024344,27,147.74846632346407,0,True,worst_cost_remove,greedy_insert
8,52748.34736430527,68239.10085937695,52748.34736430527,68239.10085937695,52748.34736430527,68239.10085937695,25,144.68029918558113,0,True,late_suffix_remove,regret2_insert
9,52532.442161149425,68549.35352891043,52532.442161149425,68549.35352891043,52532.442161149425,68549.35352891043,26,144.68029918558113,0,True,related_remove,time_oriented_insert
10,52532.442161149425,68549.35352891043,52532.442161149425,68549.35352891043,52532.442161149425,68549.35352891043,26,144.68029918558113,0,True,worst_cost_remove,time_oriented_insert
11,52702.981105087216,67281.40775546552,52532.442161149425,68549.35352891043,52702.981105087216,67281.40775546552,23,152.06226163580664,0,True,midnight_route_remove,time_oriented_insert
12,54535.769478745475,67603.1211637065,52532.442161149425,68549.35352891043,54535.769478745475,67603.1211637065,20,153.2443918156223,0,True,midnight_route_remove,time_oriented_insert
13,54535.769478745475,67603.1211637065,52532.442161149425,68549.35352891043,54535.769478745475,67603.1211637065,20,153.2443918156223,0,True,worst_cost_remove,time_oriented_insert
14,53770.42311006157,67178.31737964759,52532.442161149425,68549.35352891043,53770.42311006157,67178.31737964759,21,135.82778882969603,0,True,related_remove,greedy_insert
15,53770.42311006157,67178.31737964759,52532.442161149425,68549.35352891043,53770.42311006157,67178.31737964759,21,135.82778882969603,0,True,worst_cost_remove,regret2_insert
16,53351.58524758947,65976.97736702795,52532.442161149425,68549.35352891043,53351.58524758947,65976.97736702795,20,124.92292742043082,0,True,late_suffix_remove,greedy_insert
17,53532.18334654049,66151.01256505333,52532.442161149425,68549.35352891043,53532.18334654049,66151.01256505333,20,124.92292742043082,0,True,midnight_route_remove,time_oriented_insert
