route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_id,customer_id,earliest_min,latest_min,arrival_min,late_min,route_depart_min,route_return_min,trip_position_on_vehicle,direct_arrival_from_depot_0800,direct_late_min,fresh_route_arrival_min,fresh_route_late_min,same_customer_split_count,is_green_zone,classification
18,T0018,E1-002,E1,10,8,649.0,707.0,795.2254644143799,88.22546441437987,682.7209402766069,851.0599471688704,2,565.2015713620855,0.0,649.0,0.0,4,True,Type B multi-trip cascade
19,T0019,E1-007,E1,11,8,649.0,707.0,802.7819471234159,95.78194712341588,706.3464060817935,858.6164298779064,2,565.2015713620855,0.0,649.0,0.0,4,True,Type B multi-trip cascade
20,T0020,E1-005,E1,12,8,649.0,707.0,823.2290855892651,116.22908558926508,787.3946028347746,879.0635683437556,2,565.2015713620855,0.0,649.0,0.0,4,True,Type B multi-trip cascade
21,T0021,E1-009,E1,13,8,649.0,707.0,831.9229274204308,124.92292742043082,796.0884446659403,887.7574101749213,2,565.2015713620855,0.0,649.0,0.0,4,True,Type B multi-trip cascade
28,T0028,E1-010,E1,17,11,689.0,770.0,858.3486949901584,88.34869499015838,796.0884446659403,1195.4567420431476,2,591.627338931813,0.0,689.0,0.0,1,True,Type B multi-trip cascade
33,T0033,E1-004,E1,5,6,706.0,779.0,861.3018334065937,82.30183340659369,817.2098252673185,939.6689106634618,2,573.4590967468702,0.0,706.0000000000006,0.0,2,True,Type B multi-trip cascade
39,T0039,E1-003,E1,7,7,761.0,848.0,911.1140013240866,63.114001324086644,839.6251722025839,1036.5423522865096,2,596.8564850645529,0.0,761.0000000000008,0.0,3,True,Type B multi-trip cascade
40,T0040,E1-002,E1,8,7,761.0,848.0,928.9767995058844,80.9767995058844,851.0599471688704,1054.4051504683075,3,596.8564850645529,0.0,761.0000000000008,0.0,3,True,Type B multi-trip cascade
56,T0056,E1-007,E1,88,58,858.0,923.0,935.7258376855347,12.725837685534657,858.6164298779064,1056.0988908442832,3,593.6203631432135,0.0,858.0,0.0,1,False,Type B multi-trip cascade
59,T0059,F1-011,F1,2,3,873.0,921.0,960.0000000077714,39.000000007771405,863.0743721633658,1183.7030850998833,2,607.3442717412706,0.0,873.0000000000001,0.0,1,True,Type B multi-trip cascade
93,T0093,E1-002,E1,77,55,1075.0,1152.0,1166.3429572457783,14.34295724577828,1054.4051504683075,1298.280764023249,4,601.5988237266232,0.0,1075.0,0.0,5,False,Type B multi-trip cascade
94,T0094,E1-007,E1,78,55,1075.0,1152.0,1168.036697621754,16.036697621754,1056.0988908442832,1299.9745043992248,4,601.5988237266232,0.0,1075.0,0.0,5,False,Type B multi-trip cascade
