route_index,trip_id,physical_vehicle_id,vehicle_type,stop_index,service_node_id,customer_id,earliest_min,latest_min,arrival_min,arrival_time,wait_min,late_min,service_start_min,departure_min,departure_time,load_before_service_kg,load_after_service_kg,penalty_cost
1,T0001,E1-001,E1,1,127,76,549.0,625.0,570.1891373403494,09:30,0.0,0.0,570.1891373403494,590.1891373403494,09:50,2983.1433,1726.8416000000002,0.0
1,T0001,E1-001,E1,2,18,12,895.0,950.0,620.9697031830292,10:21,274.0302968169708,0.0,895.0,915.0,15:15,1726.8416000000002,0.0,91.3434322723236
2,T0002,E1-002,E1,1,111,66,550.0,633.0,581.4147881564706,09:41,0.0,0.0,581.4147881564706,601.4147881564706,10:01,2791.0139,0.0,0.0
3,T0003,E1-003,E1,1,20,16,557.0,641.0,577.8001369706616,09:38,0.0,0.0,577.8001369706616,597.8001369706616,09:58,1786.9646,1701.7646,0.0
3,T0003,E1-003,E1,2,37,35,569.0,652.0,648.1759585395231,10:48,0.0,0.0,648.1759585395231,668.1759585395231,11:08,1701.7646,9.185999999999922,0.0
3,T0003,E1-003,E1,3,145,94,763.0,837.0,764.1372212007632,12:44,0.0,0.0,764.1372212007632,784.1372212007632,13:04,9.185999999999922,0.0,0.0
4,T0004,E1-004,E1,1,40,37,565.0,643.0,595.3427621622285,09:55,0.0,0.0,595.3427621622285,615.3427621622285,10:15,2801.7706000000003,2236.8216,0.0
4,T0004,E1-004,E1,2,6,6,706.0,779.0,721.1648252225302,12:01,0.0,0.0,721.1648252225302,741.1648252225302,12:21,2236.8216,0.0,0.0
5,T0005,E1-005,E1,1,130,79,575.0,645.0,610.1462769288903,10:10,0.0,0.0,610.1462769288903,630.1462769288903,10:30,2908.9603,593.8303000000001,0.0
5,T0005,E1-005,E1,2,136,85,591.0,662.0,647.9651176854292,10:48,0.0,0.0,647.9651176854292,667.9651176854292,11:08,593.8303000000001,1.1368683772161603e-13,0.0
6,T0006,E1-006,E1,1,139,88,604.0,679.0,604.0,10:04,0.0,0.0,604.0,624.0,10:24,2567.3449666666666,2487.7442666666666,0.0
6,T0006,E1-006,E1,2,9,7,761.0,848.0,783.875822660924,13:04,0.0,0.0,783.875822660924,803.875822660924,13:24,2487.7442666666666,0.0,0.0
7,T0007,E1-007,E1,1,14,9,606.0,692.0,606.0,10:06,0.0,0.0,606.0,626.0,10:26,2506.7093,0.0,0.0
8,T0008,E1-008,E1,1,137,86,606.0,695.0,606.0,10:06,0.0,0.0,606.0,626.0,10:26,2887.9486333333334,2355.0536333333334,0.0
8,T0008,E1-008,E1,2,84,56,830.0,909.0,767.8459667862643,12:48,62.154033213735715,0.0,830.0,850.0,14:10,2355.0536333333334,0.0,20.718011071245236
9,T0009,E1-009,E1,1,46,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2113.9337666666665,0.0,0.0
10,T0010,E1-010,E1,1,47,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2113.9337666666665,0.0,0.0
11,T0011,F1-001,F1,1,48,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2113.9337666666665,0.0,0.0
12,T0012,F1-002,F1,1,92,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2476.6573,0.0,0.0
13,T0013,F1-003,F1,1,93,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2476.6573,0.0,0.0
14,T0014,F1-004,F1,1,94,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2476.6573,0.0,0.0
15,T0015,F1-005,F1,1,95,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2476.6573,0.0,0.0
16,T0016,F1-006,F1,1,41,38,628.0,694.0,628.0,10:28,0.0,0.0,628.0,648.0,10:48,2965.92475,1704.19215,0.0
16,T0016,F1-006,F1,2,66,51,1053.0,1119.0,703.70477542017,11:44,349.29522457983,0.0,1053.0,1073.0,17:53,1704.19215,0.0,116.43174152661
17,T0017,F1-007,F1,1,35,33,646.0,731.0,646.0,10:46,0.0,0.0,646.0,666.0,11:06,2765.729333333333,2238.4627333333333,0.0
17,T0017,F1-007,F1,2,68,52,905.0,992.0,675.7885895471707,11:16,229.21141045282934,0.0,905.0,925.0,15:25,2238.4627333333333,0.0,76.40380348427644
18,T0018,E1-002,E1,1,10,8,649.0,707.0,795.2254644143799,13:15,0.0,88.22546441437987,795.2254644143799,815.2254644143799,13:35,2937.388405,0.0,73.52122034531656
19,T0019,E1-007,E1,1,11,8,649.0,707.0,802.7819471234159,13:23,0.0,95.78194712341588,802.7819471234159,822.7819471234159,13:43,2937.388405,0.0,79.81828926951323
20,T0020,E1-005,E1,1,12,8,649.0,707.0,823.2290855892651,13:43,0.0,116.22908558926508,823.2290855892651,843.2290855892651,14:03,2937.388405,0.0,96.85757132438758
