iteration,current_cost,current_score,best_cost,best_score,candidate_cost,candidate_score,candidate_late_stop_count,candidate_max_late_min,candidate_return_after_midnight_count,accepted,destroy_operator,repair_operator
0,57892.027321017355,1070812.60251948,57892.027321017355,1070812.60251948,57892.027321017355,1070812.60251948,21,168.1058102026077,1,True,initial,initial
1,60330.31470631198,1077294.2682570831,57892.027321017355,1070812.60251948,60330.31470631198,1077294.2682570831,29,168.1058102026077,1,True,random_remove,regret2_insert
2,62255.872443089786,1078873.79988552,57892.027321017355,1070812.60251948,62255.872443089786,1078873.79988552,28,168.1058102026077,1,True,time_penalty_remove,regret2_insert
3,61833.077716214335,1078369.7005058313,57892.027321017355,1070812.60251948,61833.077716214335,1078369.7005058313,27,172.7766083408792,1,True,random_remove,greedy_insert
4,61491.3945899816,1077028.6443847795,57892.027321017355,1070812.60251948,61491.3945899816,1077028.6443847795,26,131.95206003109013,1,True,late_suffix_remove,time_oriented_insert
5,61491.3945899816,1077028.6443847795,57892.027321017355,1070812.60251948,61491.3945899816,1077028.6443847795,26,131.95206003109013,1,True,worst_cost_remove,time_oriented_insert
6,61122.1242113033,76125.14268144807,57892.027321017355,1070812.60251948,61122.1242113033,76125.14268144807,25,131.95206003109013,0,True,midnight_route_remove,time_oriented_insert
7,58882.10558692428,71208.75991300952,57892.027321017355,1070812.60251948,58882.10558692428,71208.75991300952,20,131.95206003109013,0,True,related_remove,regret2_insert
8,58882.10558692428,71208.75991300952,57892.027321017355,1070812.60251948,58882.10558692428,71208.75991300952,20,131.95206003109013,0,True,worst_cost_remove,time_oriented_insert
9,59233.46096180628,73467.00162044578,57892.027321017355,1070812.60251948,59233.46096180628,73467.00162044578,23,164.40190257437098,0,True,late_suffix_remove,greedy_insert
10,60513.33734808241,74588.98894917949,57892.027321017355,1070812.60251948,60513.33734808241,74588.98894917949,22,181.00000000182195,0,True,related_remove,greedy_insert
11,59292.895364384785,70287.39986081782,57892.027321017355,1070812.60251948,59292.895364384785,70287.39986081782,17,162.4333547264314,0,True,actual_late_remove,time_oriented_insert
12,59292.895364384785,70287.39986081782,57892.027321017355,1070812.60251948,59362.56444822521,72461.71146321403,19,199.81481780064996,0,False,actual_late_remove,time_oriented_insert
