route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_id,customer_id,earliest_min,latest_min,arrival_min,late_min,route_depart_min,route_return_min,trip_position_on_vehicle,direct_arrival_from_depot_0800,direct_late_min,fresh_route_arrival_min,fresh_route_late_min,same_customer_split_count,is_green_zone,classification
18,T0018,E1-002,E1,59,38,628.0,694.0,833.8163810596199,139.81638105961986,682.7209402766069,992.2176918480104,2,605.9244233560761,0.0,628.0,0.0,1,False,Type B multi-trip cascade
18,T0018,E1-002,E1,12,7,761.0,848.0,871.5432670406834,23.543267040683418,682.7209402766069,992.2176918480104,2,596.8564850645529,0.0,675.6919998517744,0.0,6,True,Type B multi-trip cascade
20,T0020,E1-003,E1,22,8,649.0,707.0,844.7699679855041,137.76996798550408,808.9354852310136,1248.3714781427411,2,565.2015713620855,0.0,649.0,0.0,10,True,Type B multi-trip cascade
21,T0021,E1-007,E1,23,8,649.0,707.0,884.3238792114485,177.32387921144846,848.4893964569579,1049.6802646110555,2,565.2015713620855,0.0,649.0,0.0,10,True,Type B multi-trip cascade
21,T0021,E1-007,E1,10,7,761.0,848.0,924.2519136486324,76.25191364863235,848.4893964569579,1049.6802646110555,2,596.8564850645529,0.0,688.9280344371839,0.0,6,True,Type B multi-trip cascade
22,T0022,E1-001,E1,16,8,649.0,707.0,902.2120678453408,195.2120678453408,865.5815606763425,1305.6121059993168,2,565.2015713620855,0.0,649.0,0.0,10,True,Type B multi-trip cascade
23,T0023,E1-008,E1,17,8,649.0,707.0,928.5338871055671,221.53388710556715,882.4313328610082,1290.9015383562873,2,565.2015713620855,0.0,649.0,0.0,10,True,Type B multi-trip cascade
24,T0024,E1-009,E1,18,8,649.0,707.0,928.5338871055671,221.53388710556715,882.4313328610082,1024.5126129904068,2,565.2015713620855,0.0,649.0,0.0,10,True,Type B multi-trip cascade
24,T0024,E1-009,E1,19,8,649.0,707.0,948.5338871055671,241.53388710556715,882.4313328610082,1024.5126129904068,2,565.2015713620855,0.0,669.0,0.0,10,True,Type B multi-trip cascade
26,T0026,F1-005,F1,21,8,649.0,707.0,960.0000000131436,253.00000001314356,904.0212741283038,1220.5869945313354,2,565.2015713620855,0.0,649.0,0.0,10,True,Type B multi-trip cascade
26,T0026,F1-005,F1,143,75,865.0,945.0,1084.5342105039133,139.5342105039133,904.0212741283038,1220.5869945313354,2,605.7138009765748,0.0,817.5246121405651,0.0,2,False,Type B multi-trip cascade
27,T0027,F1-006,F1,24,8,649.0,707.0,960.0000000131436,253.00000001314356,904.0212741283038,1140.573874387858,2,565.2015713620855,0.0,649.0,0.0,10,True,Type B multi-trip cascade
29,T0029,F1-003,F1,73,46,672.0,731.0,892.7029990422396,161.70299904223964,821.9636548784839,1283.2858484531123,2,600.1662636230423,0.0,672.0,0.0,2,False,Type B multi-trip cascade
29,T0029,F1-003,F1,2,3,873.0,921.0,960.0000000189249,39.00000001892488,821.9636548784839,1283.2858484531123,2,607.3442717412706,0.0,794.6819861586738,0.0,1,True,Type B multi-trip cascade
36,T0036,F1-009,F1,34,11,689.0,770.0,960.0000000100022,190.00000001000217,876.1484296098521,1336.9325979179714,2,591.627338931813,0.0,689.0,0.0,2,True,Type B multi-trip cascade
39,T0039,F1-008,F1,6,6,706.0,779.0,960.0000000195869,181.00000001958688,894.3166718009305,1139.5242655651884,2,573.4590967468702,0.0,706.0000000000006,0.0,4,True,Type B multi-trip cascade
39,T0039,F1-008,F1,11,7,761.0,848.0,1014.0959146027652,166.09591460276522,894.3166718009305,1139.5242655651884,2,596.8564850645529,0.0,792.2566975812751,0.0,6,True,Type B multi-trip cascade
40,T0040,F1-004,F1,8,6,706.0,779.0,960.0000000597105,181.0000000597105,894.3166718266154,1068.8781935654144,2,573.4590967468702,0.0,706.0000000000006,0.0,4,True,Type B multi-trip cascade
40,T0040,F1-004,F1,7,6,706.0,779.0,980.0000000597105,201.0000000597105,894.3166718266154,1068.8781935654144,2,573.4590967468702,0.0,726.0000000000006,0.0,4,True,Type B multi-trip cascade
41,T0041,F1-010,F1,9,6,706.0,779.0,960.0000000649883,181.00000006498828,894.316671829994,1080.27416253825,2,573.4590967468702,0.0,706.0000000000006,0.0,4,True,Type B multi-trip cascade
41,T0041,F1-010,F1,36,12,895.0,950.0,1001.5853172592557,51.5853172592557,894.316671829994,1080.27416253825,2,566.9364398350162,0.0,784.248105401032,0.0,2,True,Type B multi-trip cascade
46,T0046,F1-016,F1,13,7,761.0,848.0,960.0000000148473,112.00000001484727,870.9192834802137,1140.573874387858,2,596.8564850645529,0.0,761.0000000000008,0.0,6,True,Type B multi-trip cascade
47,T0047,F1-017,F1,15,7,761.0,848.0,960.0000000148473,112.00000001484727,870.9192834802137,1247.3520427259882,2,596.8564850645529,0.0,761.0000000000008,0.0,6,True,Type B multi-trip cascade
47,T0047,F1-017,F1,158,89,971.0,1033.0,1082.988789650695,49.988789650695026,870.9192834802137,1247.3520427259882,2,634.0242700244457,0.0,1031.0934889678545,0.0,1,False,Type B multi-trip cascade
53,T0053,F1-020,F1,30,10,1180.0,1229.0,1248.7724782457337,19.772478245733737,824.1496813810555,1372.058326698846,2,582.6820802032581,0.0,1248.7724782457337,19.772478245733737,4,True,Type C route-order/local-optimum
53,T0053,F1-020,F1,29,10,1180.0,1229.0,1268.7724782457337,39.77247824573374,824.1496813810555,1372.058326698846,2,582.6820802032581,0.0,1268.7724782457337,39.77247824573374,4,True,Type C route-order/local-optimum
65,T0065,F1-023,F1,35,12,895.0,950.0,960.0844880656508,10.084488065650817,901.3956427866566,1238.1846166734556,2,566.9364398350162,0.0,895.0000000000001,0.0,2,True,Type B multi-trip cascade
83,T0083,E1-002,E1,160,91,1000.0,1079.0,1091.2682471764847,12.268247176484692,992.2176918480104,1298.8114138610124,3,592.7737732120794,0.0,1000.0000000000002,0.0,1,False,Type B multi-trip cascade
