iteration,current_cost,current_score,best_cost,best_score,candidate_cost,candidate_score,candidate_late_stop_count,candidate_max_late_min,candidate_return_after_midnight_count,accepted,destroy_operator,repair_operator
0,54180.95766161614,1074884.1256480082,54180.95766161614,1074884.1256480082,54180.95766161614,1074884.1256480082,33,198.27503605399227,1,True,initial,initial
1,54180.95766161614,1074884.1256480082,54180.95766161614,1074884.1256480082,54180.95766161614,1074884.1256480082,33,198.27503605399227,1,True,worst_cost_remove,time_oriented_insert
2,54114.795793783596,1073642.6946127997,54114.795793783596,1073642.6946127997,54114.795793783596,1073642.6946127997,31,198.27503605399227,1,True,random_remove,time_oriented_insert
3,53245.983416198316,1072309.606347625,53245.983416198316,1072309.606347625,53245.983416198316,1072309.606347625,31,170.3747050890429,1,True,late_suffix_remove,time_oriented_insert
4,52803.51776256897,71465.46301107154,52803.51776256897,71465.46301107154,52803.51776256897,71465.46301107154,30,170.3747050890429,0,True,midnight_route_remove,time_oriented_insert
5,52871.68040740319,70227.28572952533,52803.51776256897,71465.46301107154,52871.68040740319,70227.28572952533,28,168.1058102026077,0,True,late_suffix_remove,time_oriented_insert
6,52885.5751530937,67359.5291397895,52803.51776256897,71465.46301107154,52885.5751530937,67359.5291397895,22,186.87297153494944,0,True,random_remove,time_oriented_insert
7,53045.49336346008,68013.39769406804,52803.51776256897,71465.46301107154,53045.49336346008,68013.39769406804,23,186.87297153494944,0,True,random_remove,greedy_insert
8,52987.55842010339,68086.16912932383,52803.51776256897,71465.46301107154,52987.55842010339,68086.16912932383,23,170.7534698524031,0,True,random_remove,regret2_insert
9,52561.823966551514,66453.15277907197,52561.823966551514,66453.15277907197,52561.823966551514,66453.15277907197,21,170.7534698524031,0,True,related_remove,time_oriented_insert
10,51600.864304358765,67190.69615132204,51600.864304358765,67190.69615132204,51600.864304358765,67190.69615132204,24,170.7534698524031,0,True,related_remove,greedy_insert
11,52612.615220750195,68202.44706771348,51600.864304358765,67190.69615132204,52612.615220750195,68202.44706771348,24,170.7534698524031,0,True,midnight_route_remove,time_oriented_insert
12,52612.615220750195,68202.44706771348,51600.864304358765,67190.69615132204,52612.615220750195,68202.44706771348,24,170.7534698524031,0,True,time_penalty_remove,time_oriented_insert
13,52987.282598047044,67434.0379156033,51600.864304358765,67190.69615132204,52987.282598047044,67434.0379156033,22,170.7534698524031,0,True,late_route_split,time_oriented_insert
14,52846.495973357785,66631.48876712476,51600.864304358765,67190.69615132204,52846.495973357785,66631.48876712476,21,170.7534698524031,0,True,late_route_split,regret2_insert
15,52846.495973357785,66631.48876712476,51600.864304358765,67190.69615132204,53032.02484941707,1063973.590259014,16,177.07492612336523,1,False,actual_late_remove,time_oriented_insert
16,52846.495973357785,66631.48876712476,51600.864304358765,67190.69615132204,53733.53730519751,68163.86294615234,22,170.7534698524031,0,False,time_penalty_remove,time_oriented_insert
17,52846.495973357785,66631.48876712476,51600.864304358765,67190.69615132204,53032.02484941707,1063973.590259014,16,177.07492612336523,1,False,actual_late_remove,time_oriented_insert
18,52846.495973357785,66631.48876712476,51600.864304358765,67190.69615132204,53032.02484941707,1063973.590259014,16,177.07492612336523,1,False,actual_late_remove,time_oriented_insert
19,53075.50127296834,66843.07882247183,51600.864304358765,67190.69615132204,53075.50127296834,66843.07882247183,21,165.112882234268,0,True,random_remove,regret2_insert
20,52181.341310916956,65387.31007417412,51600.864304358765,67190.69615132204,52181.341310916956,65387.31007417412,20,165.112882234268,0,True,random_remove,regret2_insert
21,52606.15291801841,64290.28396168878,51600.864304358765,67190.69615132204,52606.15291801841,64290.28396168878,18,133.91328132912793,0,True,related_remove,time_oriented_insert
