route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_id,customer_id,earliest_min,latest_min,arrival_min,late_min,route_depart_min,route_return_min,trip_position_on_vehicle,direct_arrival_from_depot_0800,direct_late_min,fresh_route_arrival_min,fresh_route_late_min,same_customer_split_count,is_green_zone,classification
5,T0005,E1-005,E1,37,35,569.0,652.0,666.6262132769559,14.626213276955923,480.0,909.0596717304095,1,666.6262132769559,14.626213276955923,666.6262132769559,14.626213276955923,1,False,Type A direct-infeasible
19,T0019,E1-002,E1,10,8,649.0,707.0,795.2254644143799,88.22546441437987,682.7209402766069,851.0599471688704,2,565.2015713620855,0.0,649.0,0.0,4,True,Type B multi-trip cascade
20,T0020,E1-008,E1,11,8,649.0,707.0,802.7819471234159,95.78194712341588,706.3464060817935,858.6164298779064,2,565.2015713620855,0.0,649.0,0.0,4,True,Type B multi-trip cascade
21,T0021,E1-006,E1,12,8,649.0,707.0,823.2290855892651,116.22908558926508,787.3946028347746,879.0635683437556,2,565.2015713620855,0.0,649.0,0.0,4,True,Type B multi-trip cascade
22,T0022,E1-009,E1,13,8,649.0,707.0,869.9994864680108,162.9994864680108,834.1650037135203,940.3564547458848,2,565.2015713620855,0.0,649.0,0.0,4,True,Type B multi-trip cascade
28,T0028,E1-002,E1,17,11,689.0,770.0,920.8081051233839,150.80810512338394,851.0599471688704,1038.0677617033066,3,591.627338931813,0.0,689.0,0.0,1,True,Type B multi-trip cascade
31,T0031,E1-008,E1,5,6,706.0,779.0,904.2309780324899,125.23097803248993,858.6164298779064,993.1091715381938,3,573.4590967468702,0.0,706.0000000000006,0.0,2,True,Type B multi-trip cascade
32,T0032,E1-010,E1,6,6,706.0,779.0,918.553868947263,139.55386894726303,867.78515209098,1007.4320624529669,2,573.4590967468702,0.0,706.0000000000006,0.0,2,True,Type B multi-trip cascade
37,T0037,F1-015,F1,145,94,763.0,837.0,865.0291306983252,28.02913069832516,613.892033867095,963.2936332773467,1,584.8550396094157,0.0,865.0291306983252,28.02913069832516,1,False,Type C route-order/local-optimum
38,T0038,E1-006,E1,7,7,761.0,848.0,972.7225693073294,124.72256930732942,879.0635683437556,1098.1509202697525,3,596.8564850645529,0.0,761.0000000000008,0.0,3,True,Type B multi-trip cascade
39,T0039,F1-009,F1,8,7,761.0,848.0,960.0000000195035,112.00000001950355,870.9192834831944,1085.4283509819265,2,596.8564850645529,0.0,761.0000000000008,0.0,3,True,Type B multi-trip cascade
40,T0040,F1-010,F1,9,7,761.0,848.0,960.0000000195035,112.00000001950355,870.9192834831944,1085.4283509819265,2,596.8564850645529,0.0,761.0000000000008,0.0,3,True,Type B multi-trip cascade
41,T0041,F1-016,F1,21,19,1155.0,1228.0,1240.3485287800422,12.348528780042216,582.0600938069392,1472.64901394321,1,733.2078749771572,0.0,1240.3485287800422,12.348528780042216,1,False,Type C route-order/local-optimum
58,T0058,F1-012,F1,2,3,873.0,921.0,960.0000000077714,39.000000007771405,863.0743721633658,1222.8906369131187,2,607.3442717412706,0.0,873.0000000000001,0.0,1,True,Type B multi-trip cascade
63,T0063,F1-014,F1,18,12,895.0,950.0,960.0000000025575,10.000000002557499,901.3111547235633,1038.6888452815517,2,566.9364398350162,0.0,895.0000000000001,0.0,1,True,Type B multi-trip cascade
