route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_sequence,customer_sequence,depart_min,depart_time,return_min,return_time,total_weight_kg,total_volume_m3,total_distance_km,fixed_cost,energy_cost,carbon_cost,penalty_cost,total_cost
1,T0001,E1-001,E1,127->125,76->75,480.0,08:00,992.6205806375917,16:33,2765.022,7.86955,144.0774158678824,400.0,90.531848338683,17.976644153348857,71.98327309319964,580.4917655852315
2,T0002,E1-002,E1,111,66,480.0,08:00,682.7209402766069,11:23,2791.0139,8.6796,95.9412595017608,400.0,62.11220597323391,12.3334389482827,0.0,474.44564492151665
3,T0003,E1-003,E1,20->117,16->70,480.0,08:00,899.1181951668875,14:59,2922.5254999999997,8.375964999999999,220.7692033147112,400.0,141.64170419863123,28.12537864163675,0.44503380429281,570.2121166445609
4,T0004,E1-004,E1,40->82,37->56,480.0,08:00,958.2518177683079,15:58,2920.0026333333335,7.729206666666667,161.6030023909068,400.0,104.45953308651822,20.742223749771135,60.058899930056896,585.2606567663462
5,T0005,E1-005,E1,37->34,35->32,480.0,08:00,909.0596717304095,15:09,2134.9128,5.0096,201.07854639263581,400.0,126.47725004038259,25.114217363201583,35.589857856590655,587.1813252601748
6,T0006,E1-006,E1,130->136,79->85,480.0,08:00,787.3946028347746,13:07,2908.9603,8.787469999999999,116.11535894605049,400.0,78.78345528538019,15.643800130295158,0.0,494.42725541567535
7,T0007,E1-007,E1,139->135->22,88->84->24,586.0795681295833,09:46,1142.6148597429558,19:03,2947.0299000000005,7.8615,159.5646529616264,400.0,106.71551581882775,21.190187638049544,59.29527871993427,587.2009821768115
8,T0008,E1-008,E1,14,9,559.9747779457219,09:20,706.3464060817935,11:46,2506.7093,6.65072,80.8598259867192,400.0,51.4187369830244,10.210068108854816,0.0,461.62880509187926
9,T0009,E1-009,E1,137->133,86->82,573.7614311940539,09:34,834.1650037135203,13:54,2025.977,7.52134,116.3920207853491,400.0,71.18428734726805,14.13485559429137,8.553637600805473,493.8727805423649
10,T0010,E1-010,E1,46->138,42->87,541.0761122960852,09:01,867.78515209098,14:28,2294.2247666666667,5.473703333333334,175.07840004302392,400.0,106.9033919601466,21.227493653549843,4.379528230473132,532.5104138441696
11,T0011,F1-001,F1,47,42,541.0761122960852,09:01,796.0884446659403,13:16,2113.9337666666665,5.0089733333333335,125.1363663342164,400.0,281.46924735329105,61.23343133452576,0.0,742.7026786878168
12,T0012,F1-002,F1,48,42,541.0761122960852,09:01,796.0884446659403,13:16,2113.9337666666665,5.0089733333333335,125.1363663342164,400.0,281.46924735329105,61.23343133452576,0.0,742.7026786878168
13,T0013,F1-003,F1,92,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,84.1096062784961,18.297984057078082,0.0,502.40759033557424
14,T0014,F1-004,F1,93,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,84.1096062784961,18.297984057078082,0.0,502.40759033557424
