iteration,current_cost,current_score,best_cost,best_score,candidate_cost,candidate_score,candidate_late_stop_count,candidate_max_late_min,candidate_return_after_midnight_count,accepted,destroy_operator,repair_operator
0,57892.027321017355,1070812.60251948,57892.027321017355,1070812.60251948,57892.027321017355,1070812.60251948,21,168.1058102026077,1,True,initial,initial
1,57892.027321017355,1070812.60251948,57892.027321017355,1070812.60251948,58537.020009148684,1073050.3816614908,24,168.1058102026077,1,False,worst_cost_remove,time_oriented_insert
2,60241.8062172471,72574.08750064945,57892.027321017355,1070812.60251948,60241.8062172471,72574.08750064945,20,168.1058102026077,0,True,random_remove,time_oriented_insert
3,56765.30992037696,63802.7316980142,56765.30992037696,63802.7316980142,56765.30992037696,63802.7316980142,12,95.78194712341588,0,True,actual_late_remove,regret2_insert
4,56765.30992037696,63802.7316980142,56765.30992037696,63802.7316980142,60155.51024252857,71030.5794871011,16,174.0000000562037,0,False,midnight_route_remove,time_oriented_insert
5,59149.39855252618,68394.51499756124,56765.30992037696,63802.7316980142,59149.39855252618,68394.51499756124,16,95.78194712341588,0,True,time_penalty_remove,greedy_insert
6,59149.39855252618,68394.51499756124,56765.30992037696,63802.7316980142,59584.36298722858,69099.46031448522,15,140.1418973442967,0,False,related_remove,greedy_insert
7,58624.87754008179,68644.97610714368,56765.30992037696,63802.7316980142,58624.87754008179,68644.97610714368,17,113.4053593429303,0,True,time_penalty_remove,time_oriented_insert
8,58624.87754008179,68644.97610714368,56765.30992037696,63802.7316980142,58624.87754008179,68644.97610714368,17,113.4053593429303,0,True,time_penalty_remove,time_oriented_insert
9,60293.49173420329,71072.48891831904,56765.30992037696,63802.7316980142,60293.49173420329,71072.48891831904,18,112.00000001484727,0,True,actual_late_remove,time_oriented_insert
10,59097.00783579818,73952.57128911297,56765.30992037696,63802.7316980142,59097.00783579818,73952.57128911297,24,138.57212755370028,0,True,actual_late_remove,time_oriented_insert
11,59097.00783579818,73952.57128911297,56765.30992037696,63802.7316980142,60355.000919393286,77186.67762951796,26,181.00000000182195,0,False,related_remove,greedy_insert
12,59838.947317052654,74659.22835253007,56765.30992037696,63802.7316980142,59838.947317052654,74659.22835253007,23,177.6569087472517,0,True,random_remove,regret2_insert
13,59838.947317052654,74659.22835253007,56765.30992037696,63802.7316980142,59838.947317052654,74659.22835253007,23,177.6569087472517,0,True,time_penalty_remove,time_oriented_insert
14,57644.65930114408,73564.12825934775,56765.30992037696,63802.7316980142,57644.65930114408,73564.12825934775,24,181.00000000182195,0,True,actual_late_remove,regret2_insert
15,58661.86932857382,74089.94171628739,56765.30992037696,63802.7316980142,58661.86932857382,74089.94171628739,23,181.00000006498828,0,True,random_remove,time_oriented_insert
16,58661.86932857382,74089.94171628739,56765.30992037696,63802.7316980142,58661.86932857382,74089.94171628739,23,181.00000006498828,0,True,time_penalty_remove,greedy_insert
17,58661.86932857382,74089.94171628739,56765.30992037696,63802.7316980142,59509.187148784345,77854.02253454654,27,236.75744112638745,0,False,midnight_route_remove,regret2_insert
18,58661.86932857382,74089.94171628739,56765.30992037696,63802.7316980142,58661.86932857382,74089.94171628739,23,181.00000006498828,0,True,time_penalty_remove,time_oriented_insert
19,57540.25346993102,75196.31249613545,56765.30992037696,63802.7316980142,57540.25346993102,75196.31249613545,26,236.75744112638745,0,True,actual_late_remove,time_oriented_insert
20,57540.25346993102,75196.31249613545,56765.30992037696,63802.7316980142,57398.12179104797,79355.1574718574,32,265.05780573405764,0,False,actual_late_remove,time_oriented_insert
21,57540.25346993102,75196.31249613545,56765.30992037696,63802.7316980142,58178.76304110702,77418.30728400797,28,273.00000001314356,0,False,random_remove,regret2_insert
22,57540.25346993102,75196.31249613545,56765.30992037696,63802.7316980142,57540.25346993102,75196.31249613545,26,236.75744112638745,0,True,worst_cost_remove,regret2_insert
23,57151.3357532287,76981.45440727523,56765.30992037696,63802.7316980142,57151.3357532287,76981.45440727523,29,256.75744112638745,0,True,late_suffix_remove,greedy_insert
24,57621.261773525315,76623.7687164108,56765.30992037696,63802.7316980142,57621.261773525315,76623.7687164108,27,273.00000001314356,0,True,random_remove,time_oriented_insert
25,57621.261773525315,76623.7687164108,56765.30992037696,63802.7316980142,57621.261773525315,76623.7687164108,27,273.00000001314356,0,True,worst_cost_remove,regret2_insert
26,57311.66362515133,74088.71506084118,56765.30992037696,63802.7316980142,57311.66362515133,74088.71506084118,24,253.00000001314356,0,True,late_route_split,greedy_insert
27,57311.66362515133,74088.71506084118,56765.30992037696,63802.7316980142,57311.66362515133,74088.71506084118,24,253.00000001314356,0,True,worst_cost_remove,greedy_insert
28,57311.66362515133,74088.71506084118,56765.30992037696,63802.7316980142,57311.66362515133,74088.71506084118,24,253.00000001314356,0,True,worst_cost_remove,regret2_insert
29,57311.66362515133,74088.71506084118,56765.30992037696,63802.7316980142,58401.112728898566,76524.37529264501,26,253.00000003512355,0,False,random_remove,time_oriented_insert
30,57576.874327667305,77420.1484536528,56765.30992037696,63802.7316980142,57576.874327667305,77420.1484536528,29,253.00000001314356,0,True,related_remove,time_oriented_insert
31,57576.874327667305,77420.1484536528,56765.30992037696,63802.7316980142,57576.874327667305,77420.1484536528,29,253.00000001314356,0,True,time_penalty_remove,greedy_insert
32,58591.76563706949,79559.36415416205,56765.30992037696,63802.7316980142,58591.76563706949,79559.36415416205,31,253.00000001314356,0,True,related_remove,greedy_insert
33,58591.76563706949,79559.36415416205,56765.30992037696,63802.7316980142,58497.0665535017,81057.27940582806,33,253.00000001314356,0,False,late_suffix_remove,greedy_insert
34,58591.76563706949,79559.36415416205,56765.30992037696,63802.7316980142,58591.76563706949,79559.36415416205,31,253.00000001314356,0,True,worst_cost_remove,greedy_insert
35,58371.45537452079,79443.89979332726,56765.30992037696,63802.7316980142,58371.45537452079,79443.89979332726,31,253.00000001314356,0,True,random_remove,regret2_insert
36,58371.45537452079,79443.89979332726,56765.30992037696,63802.7316980142,58564.01676937714,80625.09427291456,32,256.75744112638745,0,False,actual_late_remove,time_oriented_insert
37,58371.45537452079,79443.89979332726,56765.30992037696,63802.7316980142,58371.45537452079,79443.89979332726,31,253.00000001314356,0,True,time_penalty_remove,greedy_insert
38,58294.379598406864,78385.80309799105,56765.30992037696,63802.7316980142,58294.379598406864,78385.80309799105,30,236.75744112638745,0,True,late_route_split,regret2_insert
39,58636.22145563492,80641.66587445453,56765.30992037696,63802.7316980142,58636.22145563492,80641.66587445453,32,273.00000001314356,0,True,late_suffix_remove,time_oriented_insert
40,58294.379416494354,78385.80291607854,56765.30992037696,63802.7316980142,58294.379416494354,78385.80291607854,30,236.75744112638745,0,True,late_route_split,time_oriented_insert
