route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_sequence,customer_sequence,depart_min,depart_time,return_min,return_time,total_weight_kg,total_volume_m3,total_distance_km,fixed_cost,energy_cost,carbon_cost,penalty_cost,total_cost
1,T0001,E1-001,E1,127->40->137,76->37->86,480.0,08:00,824.4099090611318,13:44,2354.1457,8.60877,129.4638580523421,400.0,81.95347357216767,16.273261383400246,81.10229026714451,579.3290252227125
2,T0002,E1-002,E1,111->20,66->16,480.0,08:00,758.5884437950225,12:39,2876.2138999999997,8.8727,99.63868389174975,400.0,64.72867189230605,12.852982927883822,0.0,477.5816548201899
3,T0003,E1-003,E1,37->41,35->38,480.0,08:00,911.9326410320188,15:12,2954.3112,7.95163,220.3069248755577,400.0,146.64013618218235,29.117902651053466,111.53285864894562,687.2908974821814
4,T0004,E1-004,E1,130->136->139,79->85->88,480.0,08:00,829.1354329442779,13:49,2988.561,9.32495,136.15315736364278,400.0,90.53033114538987,17.976342888717202,94.71201867668063,603.2186927107878
5,T0005,E1-005,E1,14,9,559.9747779457219,09:20,706.3464060817935,11:46,2506.7093,6.65072,80.8598259867192,400.0,51.4187369830244,10.210068108854816,0.0,461.62880509187926
6,T0006,E1-006,E1,46->35,42->33,541.0761122960852,09:01,811.4797502010822,13:31,2641.2003666666665,6.388793333333334,127.52201960243892,400.0,81.97751193376105,16.278034610505664,0.0,498.2555465442667
7,T0007,E1-007,E1,47,42,541.0761122960852,09:01,796.0884446659403,13:16,2113.9337666666665,5.0089733333333335,125.1363663342164,400.0,78.25292080410082,15.538453451131364,0.0,493.7913742552322
8,T0008,E1-008,E1,48,42,541.0761122960852,09:01,796.0884446659403,13:16,2113.9337666666665,5.0089733333333335,125.1363663342164,400.0,78.25292080410082,15.538453451131364,0.0,493.7913742552322
9,T0009,E1-009,E1,92->30,60->30,594.7876041811693,09:55,791.1577520526196,13:11,2811.5092999999997,7.236177499999999,67.8211529548534,400.0,41.87117536331928,8.31423674211276,0.0,450.185412105432
10,T0010,E1-010,E1,93,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,23.27811054478282,4.622266279822272,0.0,427.9003768246051
11,T0011,F1-001,F1,94,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,84.1096062784961,18.297984057078082,0.0,502.40759033557424
12,T0012,F1-002,F1,95,60,594.7876041811693,09:55,674.1425279316762,11:14,2476.6573,6.5043975,36.748182959378,400.0,84.1096062784961,18.297984057078082,0.0,502.40759033557424
13,T0013,E1-010,E1,10,8,674.1425279316762,11:14,845.5685222681373,14:06,2937.388405,9.006755,66.0548965441108,0.0,43.348624738124386,8.607609540225734,68.94503292803896,120.90126720638908
14,T0014,E1-005,E1,11,8,706.3464060817935,11:46,858.6164298779064,14:19,2937.388405,9.006755,66.0548965441108,0.0,43.290426066012714,8.5960532002421,79.81828926951323,131.70476853576804
15,T0015,E1-002,E1,12,8,758.5884437950225,12:39,867.8745125106306,14:28,2937.388405,9.006755,66.0548965441108,0.0,43.037886694608915,8.54590719640207,87.5333581301167,139.11715202112768
16,T0016,E1-009,E1,13,8,791.1577520526196,13:11,882.8267175616006,14:43,2937.388405,9.006755,66.0548965441108,0.0,42.934382674063926,8.525354705981048,99.99352900592508,151.45326638597004
17,T0017,F1-003,F1,55,46,575.3510717494449,09:35,835.144407454895,13:55,1659.91985,5.44331,130.3961910751898,400.0,285.7144096461848,62.156963323224865,0.0,747.8713729694097
18,T0018,F1-004,F1,56,46,575.3510717494449,09:35,835.144407454895,13:55,1659.91985,5.44331,130.3961910751898,400.0,285.7144096461848,62.156963323224865,0.0,747.8713729694097
19,T0019,F1-005,F1,89,59,558.9577470962598,09:19,853.9898116740837,14:14,2935.7956,7.748356666666667,164.154552852561,400.0,384.9856619780972,83.75335252139801,0.0,868.7390144994952
20,T0020,F1-006,F1,90,59,558.9577470962598,09:19,853.9898116740837,14:14,2935.7956,7.748356666666667,164.154552852561,400.0,384.9856619780972,83.75335252139801,0.0,868.7390144994952
21,T0021,F1-007,F1,91,59,558.9577470962598,09:19,853.9898116740837,14:14,2935.7956,7.748356666666667,164.154552852561,400.0,384.9856619780972,83.75335252139801,0.0,868.7390144994952
22,T0022,F1-008,F1,138->128,87->77,547.6144862453673,09:08,1353.1540576450068,22:33,2148.5578,5.56155,216.62348421000237,400.0,482.5674286780414,104.98219534138389,133.75386049878534,1121.3034845182106
