route_index,trip_id,physical_vehicle_id,vehicle_type,stop_index,service_node_id,customer_id,earliest_min,latest_min,arrival_min,arrival_time,wait_min,late_min,service_start_min,departure_min,departure_time,load_before_service_kg,load_after_service_kg,penalty_cost
1,T0001,E1-001,E1,1,127,76,549.0,625.0,570.1891373403494,09:30,0.0,0.0,570.1891373403494,590.1891373403494,09:50,2354.1457,1097.844,0.0
1,T0001,E1-001,E1,2,40,37,565.0,643.0,660.9922760581544,11:01,0.0,17.992276058154403,660.9922760581544,680.9922760581544,11:21,1097.844,532.8950000000001,14.993563381795337
1,T0001,E1-001,E1,3,137,86,606.0,695.0,774.330472262419,12:54,0.0,79.330472262419,774.330472262419,794.330472262419,13:14,532.8950000000001,1.1368683772161603e-13,66.10872688534917
2,T0002,E1-002,E1,1,111,66,550.0,633.0,581.4147881564706,09:41,0.0,0.0,581.4147881564706,601.4147881564706,10:01,2876.2138999999997,85.19999999999982,0.0
2,T0002,E1-002,E1,2,20,16,557.0,641.0,613.3282252743965,10:13,0.0,0.0,613.3282252743965,633.3282252743965,10:33,85.19999999999982,0.0,0.0
3,T0003,E1-003,E1,1,37,35,569.0,652.0,666.6262132769559,11:07,0.0,14.626213276955923,666.6262132769559,686.6262132769559,11:27,2954.3112,1261.7326,12.188511064129937
3,T0003,E1-003,E1,2,41,38,628.0,694.0,813.2132171017788,13:33,0.0,119.21321710177881,813.2132171017788,833.2132171017788,13:53,1261.7326,0.0,99.34434758481568
4,T0004,E1-004,E1,1,130,79,575.0,645.0,610.1462769288903,10:10,0.0,0.0,610.1462769288903,630.1462769288903,10:30,2988.561,673.431,0.0
4,T0004,E1-004,E1,2,136,85,591.0,662.0,647.9651176854292,10:48,0.0,0.0,647.9651176854292,667.9651176854292,11:08,673.431,79.60070000000007,0.0
4,T0004,E1-004,E1,3,139,88,604.0,679.0,792.6544224120167,13:13,0.0,113.65442241201674,792.6544224120167,812.6544224120167,13:33,79.60070000000007,7.105427357601002e-14,94.71201867668063
5,T0005,E1-005,E1,1,14,9,606.0,692.0,606.0,10:06,0.0,0.0,606.0,626.0,10:26,2506.7093,0.0,0.0
6,T0006,E1-006,E1,1,46,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2641.2003666666665,527.2665999999999,0.0
6,T0006,E1-006,E1,2,35,33,646.0,731.0,646.2692135396488,10:46,0.0,0.0,646.2692135396488,666.2692135396488,11:06,527.2665999999999,0.0,0.0
7,T0007,E1-007,E1,1,47,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2113.9337666666665,0.0,0.0
8,T0008,E1-008,E1,1,48,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2113.9337666666665,0.0,0.0
9,T0009,E1-009,E1,1,92,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2811.5092999999997,334.85199999999986,0.0
9,T0009,E1-009,E1,2,30,30,692.0,782.0,721.8953573504223,12:02,0.0,0.0,721.8953573504223,741.8953573504223,12:22,334.85199999999986,0.0,0.0
10,T0010,E1-010,E1,1,93,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2476.6573,0.0,0.0
11,T0011,F1-001,F1,1,94,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2476.6573,0.0,0.0
12,T0012,F1-002,F1,1,95,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2476.6573,0.0,0.0
13,T0013,E1-010,E1,1,10,8,649.0,707.0,789.7340395136467,13:10,0.0,82.73403951364674,789.7340395136467,809.7340395136467,13:30,2937.388405,0.0,68.94503292803896
14,T0014,E1-005,E1,1,11,8,649.0,707.0,802.7819471234159,13:23,0.0,95.78194712341588,802.7819471234159,822.7819471234159,13:43,2937.388405,0.0,79.81828926951323
15,T0015,E1-002,E1,1,12,8,649.0,707.0,812.04002975614,13:32,0.0,105.04002975614003,812.04002975614,832.04002975614,13:52,2937.388405,0.0,87.5333581301167
16,T0016,E1-009,E1,1,13,8,649.0,707.0,826.9922348071101,13:47,0.0,119.9922348071101,826.9922348071101,846.9922348071101,14:07,2937.388405,0.0,99.99352900592508
17,T0017,F1-003,F1,1,55,46,672.0,731.0,672.0,11:12,0.0,0.0,672.0,692.0,11:32,1659.91985,0.0,0.0
18,T0018,F1-004,F1,1,56,46,672.0,731.0,672.0,11:12,0.0,0.0,672.0,692.0,11:32,1659.91985,0.0,0.0
19,T0019,F1-005,F1,1,89,59,675.0,759.0,675.0,11:15,0.0,0.0,675.0,695.0,11:35,2935.7956,0.0,0.0
20,T0020,F1-006,F1,1,90,59,675.0,759.0,675.0,11:15,0.0,0.0,675.0,695.0,11:35,2935.7956,0.0,0.0
21,T0021,F1-007,F1,1,91,59,675.0,759.0,675.0,11:15,0.0,0.0,675.0,695.0,11:35,2935.7956,0.0,0.0
22,T0022,F1-008,F1,1,138,87,678.0,762.0,678.0000000000001,11:18,0.0,0.0,678.0000000000001,698.0000000000001,11:38,2148.5578,1968.2668,0.0
22,T0022,F1-008,F1,2,128,77,1136.0,1217.0,734.738418503644,12:15,401.26158149635603,0.0,1136.0,1156.0,19:16,1968.2668,2.2737367544323206e-13,133.75386049878534
23,T0023,E1-007,E1,1,17,11,689.0,770.0,858.3486949901584,14:18,0.0,88.34869499015838,858.3486949901584,878.3486949901584,14:38,2769.0922,1443.5621,73.62391249179865
23,T0023,E1-007,E1,2,3,4,1169.0,1237.0,889.9194498097385,14:50,279.08055019026153,0.0,1169.0,1189.0,19:49,1443.5621,0.0,93.02685006342051
24,T0024,F1-009,F1,1,117,70,696.0,755.0,702.4934890539674,11:42,0.0,0.0,702.4934890539674,722.4934890539674,12:02,2837.3255,0.0,0.0
25,T0025,F1-010,F1,1,118,70,696.0,755.0,702.4934890539674,11:42,0.0,0.0,702.4934890539674,722.4934890539674,12:02,2837.3255,0.0,0.0
26,T0026,F1-011,F1,1,133,82,701.0,782.0,701.0000000000001,11:41,0.0,0.0,701.0000000000001,721.0000000000001,12:01,1493.082,0.0,0.0
27,T0027,E1-008,E1,1,5,6,706.0,779.0,840.1804528052155,14:00,0.0,61.18045280521551,840.1804528052155,860.1804528052155,14:20,2776.9084000000003,540.0868,50.98371067101293
27,T0027,E1-008,E1,2,19,13,730.0,786.0,891.3183654632095,14:51,0.0,105.31836546320949,891.3183654632095,911.3183654632095,15:11,540.0868,1.1368683772161603e-13,87.76530455267458
28,T0028,E1-006,E1,1,6,6,706.0,779.0,855.5717583403574,14:16,0.0,76.5717583403574,855.5717583403574,875.5717583403574,14:36,2236.8216,0.0,63.80979861696451
29,T0029,F1-001,F1,1,96,61,737.0,823.0,815.6610355490213,13:36,0.0,0.0,815.6610355490213,835.6610355490213,13:56,2004.6885,0.0,0.0
30,T0030,F1-002,F1,1,97,61,737.0,823.0,815.6610355490213,13:36,0.0,0.0,815.6610355490213,835.6610355490213,13:56,2004.6885,0.0,0.0
31,T0031,F1-012,F1,1,98,61,737.0,823.0,737.0000000000003,12:17,0.0,0.0,737.0000000000003,757.0000000000003,12:37,2004.6885,0.0,0.0
32,T0032,F1-013,F1,1,45,41,758.0,831.0,758.0000000000007,12:38,0.0,0.0,758.0000000000007,778.0000000000007,12:58,2893.3006,106.88209999999981,0.0
