route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_id,customer_id,earliest_min,latest_min,arrival_min,late_min,route_depart_min,route_return_min,trip_position_on_vehicle,direct_arrival_from_depot_0800,direct_late_min,fresh_route_arrival_min,fresh_route_late_min,same_customer_split_count,is_green_zone,classification
1,T0001,E1-001,E1,58,37,565.0,643.0,660.9922760581544,17.992276058154403,480.0,824.4099090611318,1,595.3427621622285,0.0,660.9922760581544,17.992276058154403,1,False,Type C route-order/local-optimum
1,T0001,E1-001,E1,155,86,606.0,695.0,774.330472262419,79.330472262419,480.0,824.4099090611318,1,559.4465254063077,0.0,774.330472262419,79.330472262419,1,False,Type C route-order/local-optimum
3,T0003,E1-003,E1,55,35,569.0,652.0,666.6262132769559,14.626213276955923,480.0,875.1742477397555,1,666.6262132769559,14.626213276955923,666.6262132769559,14.626213276955923,1,False,Type A direct-infeasible
4,T0004,E1-004,E1,157,88,604.0,679.0,792.6544224120167,113.65442241201674,480.0,829.1354329442779,1,545.8480991398561,0.0,792.6544224120167,113.65442241201674,1,False,Type C route-order/local-optimum
23,T0023,E1-005,E1,23,8,649.0,707.0,802.7819471234159,95.78194712341588,706.3464060817935,1305.6121059993168,2,565.2015713620855,0.0,649.0,0.0,10,True,Type B multi-trip cascade
44,T0044,F1-015,F1,163,94,763.0,837.0,865.0291306983252,28.02913069832516,613.892033867095,1077.919064543766,1,584.8550396094157,0.0,865.0291306983252,28.02913069832516,1,False,Type C route-order/local-optimum
44,T0044,F1-015,F1,162,93,772.0,854.0,917.1937308579957,63.19373085799566,613.892033867095,1077.919064543766,1,630.3863506349229,0.0,917.1937308579957,63.19373085799566,1,False,Type C route-order/local-optimum
48,T0048,E2-001,E2,13,7,761.0,848.0,853.9314741481572,5.9314741481572355,786.4420776911993,964.7054843068607,2,596.8564850645529,0.0,761.0000000000008,0.0,6,True,Type B multi-trip cascade
49,T0049,E2-002,E2,14,7,761.0,848.0,853.9314741481572,5.9314741481572355,786.4420776911993,964.7054843068607,2,596.8564850645529,0.0,761.0000000000008,0.0,6,True,Type B multi-trip cascade
50,T0050,E2-003,E2,15,7,761.0,848.0,853.9314741481572,5.9314741481572355,786.4420776911993,964.7054843068607,2,596.8564850645529,0.0,761.0000000000008,0.0,6,True,Type B multi-trip cascade
51,T0051,E1-009,E1,52,32,788.0,864.0,911.1643858270323,47.16438582703233,796.0884446659403,1129.5704613317964,2,642.4382028038558,0.0,878.9086959833287,14.908695983328698,1,False,Type C route-order/local-optimum
51,T0051,E1-009,E1,165,97,822.0,911.0,1002.8369176074586,91.83691760745864,796.0884446659403,1129.5704613317964,2,597.6919972484911,0.0,969.9677546018409,58.96775460184085,1,False,Type C route-order/local-optimum
55,T0055,E1-010,E1,140,73,802.0,857.0,874.9818579507078,17.981857950707763,796.0884446659403,1015.4040254045701,2,612.9041173629278,0.0,802.0,0.0,1,False,Type B multi-trip cascade
56,T0056,E2-004,E2,159,90,830.0,909.0,991.1753108655261,82.17531086552606,818.1553891906,1130.1095075688024,2,608.595213652429,0.0,991.1753108655261,82.17531086552606,1,False,Type C route-order/local-optimum
79,T0079,F1-017,F1,158,89,971.0,1033.0,1083.3570498120737,50.35704981207368,882.4313328610082,1247.7203028873669,2,634.0242700244457,0.0,1076.0123413969598,43.012341396959755,1,False,Type C route-order/local-optimum
100,T0100,F1-028,F1,149,80,1061.0,1114.0,1165.4925030698698,51.49250306986983,885.3466808910598,1271.5112977535468,1,584.4315611537463,0.0,1165.4925030698698,51.49250306986983,1,False,Type C route-order/local-optimum
122,T0122,F1-021,F1,39,19,1155.0,1228.0,1249.0193589296236,21.01935892962365,1075.9962252677362,1512.7521656971385,2,733.2078749771572,0.0,1241.1818498248758,13.181849824875826,1,False,Type C route-order/local-optimum
122,T0122,F1-021,F1,166,98,1158.0,1241.0,1310.8195549782436,69.81955497824356,1075.9962252677362,1512.7521656971385,2,671.5936276680475,0.0,1302.9820458734957,61.982045873495736,1,False,Type C route-order/local-optimum
