route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_id,customer_id,arrival_min,is_green_zone,is_fuel_vehicle,would_violate_problem2_policy
1,T0001,E1-001,E1,145,76,570.1891373403494,False,False,False
1,T0001,E1-001,E1,58,37,660.9922760581544,False,False,False
1,T0001,E1-001,E1,155,86,774.330472262419,False,False,False
2,T0002,E1-002,E1,129,66,581.4147881564706,False,False,False
2,T0002,E1-002,E1,38,16,613.3282252743965,False,False,False
3,T0003,E1-003,E1,55,35,666.6262132769559,False,False,False
4,T0004,E1-004,E1,148,79,610.1462769288903,False,False,False
4,T0004,E1-004,E1,154,85,647.9651176854292,False,False,False
4,T0004,E1-004,E1,157,88,792.6544224120167,False,False,False
5,T0005,E1-005,E1,26,9,606.0,True,False,False
6,T0006,E1-006,E1,27,9,606.0,True,False,False
7,T0007,E1-007,E1,28,9,606.0,True,False,False
8,T0008,E1-008,E1,64,42,614.0000000000001,False,False,False
8,T0008,E1-008,E1,53,33,646.2692135396488,False,False,False
9,T0009,E1-009,E1,65,42,614.0000000000001,False,False,False
10,T0010,E1-010,E1,66,42,614.0000000000001,False,False,False
11,T0011,F1-001,F1,110,60,623.0,False,True,False
11,T0011,F1-001,F1,48,30,721.8953573504223,False,True,False
12,T0012,F1-002,F1,111,60,623.0,False,True,False
13,T0013,F1-003,F1,112,60,623.0,False,True,False
14,T0014,F1-004,F1,113,60,623.0,False,True,False
15,T0015,F1-005,F1,59,38,628.0,False,True,False
16,T0016,E2-001,E2,16,8,649.0,True,False,False
17,T0017,E2-002,E2,17,8,649.0,True,False,False
18,T0018,E2-003,E2,18,8,649.0,True,False,False
19,T0019,E2-004,E2,19,8,649.0,True,False,False
20,T0020,E2-005,E2,20,8,649.0,True,False,False
21,T0021,E2-006,E2,21,8,649.0,True,False,False
22,T0022,E2-007,E2,22,8,649.0,True,False,False
23,T0023,E1-005,E1,23,8,802.7819471234159,True,False,False
23,T0023,E1-005,E1,137,71,856.7724022471788,False,False,False
24,T0024,E2-008,E2,24,8,649.0,True,False,False
25,T0025,E2-009,E2,25,8,649.0,True,False,False
26,T0026,F1-006,F1,73,46,672.0,False,True,False
27,T0027,F1-007,F1,74,46,672.0,False,True,False
28,T0028,F1-008,F1,107,59,675.0,False,True,False
29,T0029,F1-009,F1,108,59,675.0,False,True,False
30,T0030,F1-010,F1,109,59,675.0,False,True,False
31,T0031,F1-011,F1,156,87,678.0000000000001,False,True,False
31,T0031,F1-011,F1,146,77,734.738418503644,False,True,False
32,T0032,E2-010,E2,34,11,689.0,True,False,False
32,T0032,E2-010,E2,2,3,780.1137887898254,True,False,False
33,T0033,E2-011,E2,33,11,689.0,True,False,False
33,T0033,E2-011,E2,37,13,782.7641374241489,True,False,False
34,T0034,F1-012,F1,135,70,702.4934890539674,False,True,False
35,T0035,F1-013,F1,136,70,702.4934890539674,False,True,False
36,T0036,F1-014,F1,151,82,701.0000000000001,False,True,False
37,T0037,E2-012,E2,6,6,706.0000000000006,True,False,False
38,T0038,E2-013,E2,7,6,706.0000000000006,True,False,False
39,T0039,E2-014,E2,8,6,706.0000000000006,True,False,False
40,T0040,E2-015,E2,9,6,706.0000000000006,True,False,False
41,T0041,F1-002,F1,114,61,815.6610355490213,False,True,False
42,T0042,F1-003,F1,115,61,815.6610355490213,False,True,False
43,T0043,F1-004,F1,116,61,815.6610355490213,False,True,False
44,T0044,F1-015,F1,63,41,758.0000000000007,False,True,False
44,T0044,F1-015,F1,163,94,865.0291306983252,False,True,False
44,T0044,F1-015,F1,162,93,917.1937308579957,False,True,False
45,T0045,E1-002,E1,10,7,843.6949434586076,True,False,False
46,T0046,E1-006,E1,11,7,834.4368608258834,True,False,False
47,T0047,E1-007,E1,12,7,834.4368608258834,True,False,False
48,T0048,E2-001,E2,13,7,853.9314741481572,True,False,False
49,T0049,E2-002,E2,14,7,853.9314741481572,True,False,False
50,T0050,E2-003,E2,15,7,853.9314741481572,True,False,False
51,T0051,E1-009,E1,79,49,814.2381260469958,False,False,False
51,T0051,E1-009,E1,52,32,911.1643858270323,False,False,False
51,T0051,E1-009,E1,165,97,1002.8369176074586,False,False,False
52,T0052,E1-008,E1,80,49,829.6294315821377,False,False,False
53,T0053,F1-016,F1,141,74,791.0,False,True,False
54,T0054,F1-017,F1,142,74,791.0,False,True,False
55,T0055,E1-010,E1,140,73,874.9818579507078,False,False,False
56,T0056,E2-004,E2,152,83,828.0,False,False,False
56,T0056,E2-004,E2,159,90,991.1753108655261,False,False,False
57,T0057,F1-018,F1,100,56,830.0000000000001,False,True,False
57,T0057,F1-018,F1,164,95,909.4952475846206,False,True,False
58,T0058,F1-001,F1,101,56,878.4473424504152,False,True,False
59,T0059,F1-005,F1,102,56,898.8795467595514,False,True,False
60,T0060,F1-019,F1,60,39,848.0,False,True,False
61,T0061,F1-020,F1,61,39,848.0,False,True,False
62,T0062,E1-004,E1,123,64,881.7293701582869,False,False,False
63,T0063,E1-001,E1,124,64,877.0038462751407,False,False,False
64,T0064,F1-006,F1,125,64,887.738344668904,False,True,False
65,T0065,F1-007,F1,106,58,899.3976819905135,False,True,False
66,T0066,F1-014,F1,143,75,913.2088491505202,False,True,False
67,T0067,F1-008,F1,144,75,944.1781113036038,False,True,False
68,T0068,E1-003,E1,103,57,912.3317341668522,False,False,False
69,T0069,E1-008,E1,104,57,900.7794473548778,False,False,False
70,T0070,F1-009,F1,105,57,886.7096577771233,False,True,False
71,T0071,E1-006,E1,161,92,963.8854858642364,False,False,False
72,T0072,E2-005,E2,35,12,895.0,True,False,False
72,T0072,E2-005,E2,1,2,920.5200330010238,True,False,False
73,T0073,E2-006,E2,36,12,895.0,True,False,False
74,T0074,F1-010,F1,86,52,979.1215525439176,False,True,False
75,T0075,F1-021,F1,87,52,905.0000000000003,False,True,False
76,T0076,F1-022,F1,88,52,905.0000000000003,False,True,False
77,T0077,F1-023,F1,56,36,916.0000000000006,False,True,False
77,T0077,F1-023,F1,150,81,1079.5041444179183,False,True,False
78,T0078,F1-016,F1,57,36,966.4184081724222,False,True,False
79,T0079,F1-017,F1,71,45,944.3447084151139,False,True,False
79,T0079,F1-017,F1,42,26,1010.6524507415601,False,True,False
79,T0079,F1-017,F1,158,89,1083.3570498120737,False,True,False
80,T0080,F1-002,F1,72,45,967.7631359780141,False,True,False
80,T0080,F1-002,F1,160,91,1048.7234238516803,False,True,False
81,T0081,F1-003,F1,134,69,995.5710092593764,False,True,False
82,T0082,E1-002,E1,120,63,1028.680400704029,False,False,False
83,T0083,E1-007,E1,121,63,1014.217915687372,False,False,False
84,T0084,F1-004,F1,122,63,975.939469789047,False,True,False
85,T0085,F1-009,F1,126,65,1031.4453533946676,False,True,False
86,T0086,F1-012,F1,127,65,974.0426135825068,False,True,False
87,T0087,F1-013,F1,128,65,974.0426135825068,False,True,False
88,T0088,E1-003,E1,76,48,1044.0867575027391,False,False,False
89,T0089,E1-004,E1,77,48,1044.5306431675244,False,False,False
90,T0090,E1-008,E1,78,48,1032.5344706907647,False,False,False
91,T0091,F1-024,F1,153,84,974.0000000000001,False,True,False
91,T0091,F1-024,F1,40,24,1042.7991309219287,False,True,False
92,T0092,E1-001,E1,41,25,1034.6674223439265,False,False,False
93,T0093,F1-025,F1,49,31,1009.0,False,True,False
94,T0094,F1-026,F1,50,31,1009.0,False,True,False
95,T0095,F1-027,F1,51,31,1009.0,False,True,False
96,T0096,E1-006,E1,67,43,1078.9232382203786,False,False,False
97,T0097,E1-010,E1,68,43,1080.8083265784287,False,False,False
98,T0098,F1-006,F1,69,44,1068.480681967733,False,True,False
99,T0099,F1-007,F1,70,44,1098.3536168567157,False,True,False
100,T0100,F1-028,F1,92,54,1040.0000000000002,False,True,False
100,T0100,F1-028,F1,149,80,1165.4925030698698,False,True,False
101,T0101,F1-029,F1,93,54,1040.0000000000002,False,True,False
102,T0102,F1-030,F1,94,54,1040.0000000000002,False,True,False
103,T0103,F1-019,F1,84,51,1082.1354824910484,False,True,False
103,T0103,F1-019,F1,47,29,1139.9129151421928,False,True,False
104,T0104,F1-001,F1,85,51,1101.5075576224926,False,True,False
105,T0105,F1-031,F1,43,27,1071.0000000000002,False,True,False
106,T0106,F1-032,F1,44,27,1071.0000000000002,False,True,False
107,T0107,F1-014,F1,62,40,1141.5398632362394,False,True,False
108,T0108,F1-020,F1,95,55,1126.499414880661,False,True,False
109,T0109,F1-033,F1,96,55,1075.0,False,True,False
110,T0110,F1-034,F1,97,55,1075.0,False,True,False
111,T0111,F1-035,F1,98,55,1075.0,False,True,False
112,T0112,F1-036,F1,99,55,1075.0,False,True,False
113,T0113,F1-004,F1,89,53,1111.0131855570696,False,True,False
114,T0114,F1-005,F1,90,53,1090.346543923231,False,True,False
115,T0115,F1-008,F1,91,53,1115.3387300936292,False,True,False
116,T0116,F1-012,F1,131,68,1153.9168159090138,False,True,False
117,T0117,F1-013,F1,132,68,1153.9168159090138,False,True,False
118,T0118,F1-015,F1,133,68,1164.1707771707538,False,True,False
119,T0119,E1-001,E1,130,67,1198.218773504767,False,False,False
120,T0120,E1-002,E1,75,47,1156.6637456081717,False,False,False
121,T0121,E1-007,E1,54,34,1197.368413366247,False,False,False
121,T0121,E1-007,E1,147,78,1247.7278745209815,False,False,False
122,T0122,F1-021,F1,117,62,1158.8375091047478,False,True,False
122,T0122,F1-021,F1,39,19,1249.0193589296236,False,True,False
122,T0122,F1-021,F1,166,98,1310.8195549782436,False,True,False
123,T0123,E1-008,E1,118,62,1196.017571945638,False,False,False
124,T0124,F1-003,F1,119,62,1198.0097135721367,False,True,False
125,T0125,E1-003,E1,139,72,1195.1257467353564,False,False,False
126,T0126,F1-016,F1,138,71,1206.8937611234337,False,True,False
127,T0127,E1-004,E1,45,28,1229.0739989416738,False,False,False
128,T0128,E1-009,E1,46,28,1233.471999688084,False,False,False
129,T0129,E2-001,E2,5,5,1168.0,True,False,False
130,T0130,E1-006,E1,3,4,1223.6990175369783,True,False,False
131,T0131,E1-010,E1,4,4,1225.5841058950284,True,False,False
132,T0132,E2-002,E2,29,10,1180.0,True,False,False
133,T0133,E2-003,E2,30,10,1180.0,True,False,False
134,T0134,E2-004,E2,31,10,1213.3953560219147,True,False,False
135,T0135,E2-006,E2,32,10,1180.0,True,False,False
136,T0136,F1-009,F1,81,50,1244.544526450575,False,True,False
137,T0137,F1-018,F1,82,50,1227.394633123009,False,True,False
138,T0138,F1-022,F1,83,50,1209.0,False,True,False
