route_index,trip_id,physical_vehicle_id,vehicle_type,stop_index,service_node_id,customer_id,earliest_min,latest_min,arrival_min,arrival_time,wait_min,late_min,service_start_min,departure_min,departure_time,load_before_service_kg,load_after_service_kg,penalty_cost
1,T0001,E1-001,E1,1,145,76,549.0,625.0,570.1891373403494,09:30,0.0,0.0,570.1891373403494,590.1891373403494,09:50,2354.1457,1097.844,0.0
1,T0001,E1-001,E1,2,58,37,565.0,643.0,660.9922760581544,11:01,0.0,17.992276058154403,660.9922760581544,680.9922760581544,11:21,1097.844,532.8950000000001,14.993563381795337
1,T0001,E1-001,E1,3,155,86,606.0,695.0,774.330472262419,12:54,0.0,79.330472262419,774.330472262419,794.330472262419,13:14,532.8950000000001,1.1368683772161603e-13,66.10872688534917
2,T0002,E1-002,E1,1,129,66,550.0,633.0,581.4147881564706,09:41,0.0,0.0,581.4147881564706,601.4147881564706,10:01,2876.2138999999997,85.19999999999982,0.0
2,T0002,E1-002,E1,2,38,16,557.0,641.0,613.3282252743965,10:13,0.0,0.0,613.3282252743965,633.3282252743965,10:33,85.19999999999982,0.0,0.0
3,T0003,E1-003,E1,1,55,35,569.0,652.0,666.6262132769559,11:07,0.0,14.626213276955923,666.6262132769559,686.6262132769559,11:27,1692.5786,0.0,12.188511064129937
4,T0004,E1-004,E1,1,148,79,575.0,645.0,610.1462769288903,10:10,0.0,0.0,610.1462769288903,630.1462769288903,10:30,2988.561,673.431,0.0
4,T0004,E1-004,E1,2,154,85,591.0,662.0,647.9651176854292,10:48,0.0,0.0,647.9651176854292,667.9651176854292,11:08,673.431,79.60070000000007,0.0
4,T0004,E1-004,E1,3,157,88,604.0,679.0,792.6544224120167,13:13,0.0,113.65442241201674,792.6544224120167,812.6544224120167,13:33,79.60070000000007,7.105427357601002e-14,94.71201867668063
5,T0005,E1-005,E1,1,26,9,606.0,692.0,606.0,10:06,0.0,0.0,606.0,626.0,10:26,835.5697666666666,0.0,0.0
6,T0006,E1-006,E1,1,27,9,606.0,692.0,606.0,10:06,0.0,0.0,606.0,626.0,10:26,835.5697666666666,0.0,0.0
7,T0007,E1-007,E1,1,28,9,606.0,692.0,606.0,10:06,0.0,0.0,606.0,626.0,10:26,835.5697666666666,0.0,0.0
8,T0008,E1-008,E1,1,64,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2641.2003666666665,527.2665999999999,0.0
8,T0008,E1-008,E1,2,53,33,646.0,731.0,646.2692135396488,10:46,0.0,0.0,646.2692135396488,666.2692135396488,11:06,527.2665999999999,0.0,0.0
9,T0009,E1-009,E1,1,65,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2113.9337666666665,0.0,0.0
10,T0010,E1-010,E1,1,66,42,614.0,681.0,614.0000000000001,10:14,0.0,0.0,614.0000000000001,634.0000000000001,10:34,2113.9337666666665,0.0,0.0
11,T0011,F1-001,F1,1,110,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2811.5092999999997,334.85199999999986,0.0
11,T0011,F1-001,F1,2,48,30,692.0,782.0,721.8953573504223,12:02,0.0,0.0,721.8953573504223,741.8953573504223,12:22,334.85199999999986,0.0,0.0
12,T0012,F1-002,F1,1,111,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2476.6573,0.0,0.0
13,T0013,F1-003,F1,1,112,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2476.6573,0.0,0.0
14,T0014,F1-004,F1,1,113,60,623.0,696.0,623.0,10:23,0.0,0.0,623.0,643.0,10:43,2476.6573,0.0,0.0
15,T0015,F1-005,F1,1,59,38,628.0,694.0,628.0,10:28,0.0,0.0,628.0,648.0,10:48,1261.7326,0.0,0.0
16,T0016,E2-001,E2,1,16,8,649.0,707.0,649.0,10:49,0.0,0.0,649.0,669.0,11:09,1174.9553620000002,0.0,0.0
17,T0017,E2-002,E2,1,17,8,649.0,707.0,649.0,10:49,0.0,0.0,649.0,669.0,11:09,1174.9553620000002,0.0,0.0
18,T0018,E2-003,E2,1,18,8,649.0,707.0,649.0,10:49,0.0,0.0,649.0,669.0,11:09,1174.9553620000002,0.0,0.0
19,T0019,E2-004,E2,1,19,8,649.0,707.0,649.0,10:49,0.0,0.0,649.0,669.0,11:09,1174.9553620000002,0.0,0.0
20,T0020,E2-005,E2,1,20,8,649.0,707.0,649.0,10:49,0.0,0.0,649.0,669.0,11:09,1174.9553620000002,0.0,0.0
21,T0021,E2-006,E2,1,21,8,649.0,707.0,649.0,10:49,0.0,0.0,649.0,669.0,11:09,1174.9553620000002,0.0,0.0
22,T0022,E2-007,E2,1,22,8,649.0,707.0,649.0,10:49,0.0,0.0,649.0,669.0,11:09,1174.9553620000002,0.0,0.0
23,T0023,E1-005,E1,1,23,8,649.0,707.0,802.7819471234159,13:23,0.0,95.78194712341588,802.7819471234159,822.7819471234159,13:43,2708.489762,1533.5344,79.81828926951323
23,T0023,E1-005,E1,2,137,71,1159.0,1245.0,856.7724022471788,14:17,302.2275977528212,0.0,1159.0,1179.0,19:39,1533.5344,0.0,100.74253258427373
