route_index,trip_id,physical_vehicle_id,vehicle_type,service_node_id,customer_id,arrival_min,is_green_zone,is_fuel_vehicle,would_violate_problem2_policy
1,T0001,F1-001,F1,127,76,570.1891373403494,False,True,False
1,T0001,F1-001,F1,133,82,602.3722026427705,False,True,False
2,T0002,F1-002,F1,111,66,581.4147881564706,False,True,False
3,T0003,E1-001,E1,20,16,577.8001369706616,False,False,False
3,T0003,E1-001,E1,37,35,648.1759585395231,False,False,False
3,T0003,E1-001,E1,144,93,676.9802227052666,False,False,False
4,T0004,E1-002,E1,40,37,595.3427621622285,False,False,False
4,T0004,E1-002,E1,82,56,649.8233002098293,False,False,False
5,T0005,E1-003,E1,130,79,610.1462769288903,False,False,False
5,T0005,E1-003,E1,136,85,647.9651176854292,False,False,False
6,T0028,F1-015,F1,117,70,702.4934890539674,False,True,False
6,T0028,F1-015,F1,145,94,814.8263303881558,False,True,False
7,T0029,F1-016,F1,118,70,702.4934890539674,False,True,False
8,T0009,E1-005,E1,48,42,614.0000000000001,False,False,False
8,T0009,E1-005,E1,146,95,650.5279508563399,False,False,False
8,T0009,E1-005,E1,2,3,913.1681664703805,True,False,False
9,T0010,E1-006,E1,46,42,614.0000000000001,False,False,False
9,T0010,E1-006,E1,35,33,646.2692135396488,False,False,False
10,T0011,F1-005,F1,47,42,614.0000000000001,False,True,False
11,T0015,E1-007,E1,41,38,628.0,False,False,False
11,T0015,E1-007,E1,39,36,675.0866613975353,False,False,False
12,T0025,F1-014,F1,138,87,678.0000000000001,False,True,False
12,T0025,F1-014,F1,128,77,734.738418503644,False,True,False
12,T0025,F1-014,F1,148,98,1178.5483327314223,False,True,False
12,T0025,F1-014,F1,4,5,1257.5955842286073,True,True,False
13,T0022,F1-011,F1,89,59,675.0,False,True,False
14,T0023,F1-012,F1,90,59,675.0,False,True,False
15,T0024,F1-013,F1,91,59,675.0,False,True,False
16,T0007,E1-004,E1,14,9,606.0,True,False,False
17,T0008,F1-004,F1,137,86,606.0,False,True,False
17,T0008,F1-004,F1,87,57,660.1077156663155,False,True,False
18,T0020,F1-009,F1,55,46,672.0,False,True,False
19,T0021,F1-010,F1,56,46,672.0,False,True,False
20,T0042,F1-018,F1,34,32,788.0,False,True,False
20,T0042,F1-018,F1,76,54,825.2699873018429,False,True,False
21,T0006,F1-003,F1,139,88,604.0,False,True,False
21,T0006,F1-003,F1,94,60,644.361971086719,False,True,False
22,T0012,F1-006,F1,92,60,623.0,False,True,False
23,T0013,F1-007,F1,93,60,623.0,False,True,False
24,T0014,F1-008,F1,95,60,623.0,False,True,False
25,T0016,E1-008,E1,10,8,649.0,True,False,False
26,T0017,E1-009,E1,11,8,649.0,True,False,False
27,T0018,E1-010,E1,12,8,649.0,True,False,False
28,T0043,F1-019,F1,123,74,791.0,False,True,False
29,T0044,F1-020,F1,124,74,791.0,False,True,False
30,T0045,F1-021,F1,122,73,802.0,False,True,False
31,T0050,F1-024,F1,42,39,848.0,False,True,False
31,T0050,F1-024,F1,140,89,889.5399462239452,False,True,False
32,T0051,F1-025,F1,43,39,848.0,False,True,False
33,T0048,F1-022,F1,83,56,830.0000000000001,False,True,False
34,T0049,F1-023,F1,84,56,830.0000000000001,False,True,False
35,T0033,F1-006,F1,96,61,815.6610355490213,False,True,False
36,T0034,F1-007,F1,97,61,815.6610355490213,False,True,False
37,T0035,F1-008,F1,98,61,815.6610355490213,False,True,False
38,T0027,F1-002,F1,30,30,764.7724971701645,False,True,False
38,T0027,F1-002,F1,147,97,817.4351001121495,False,True,False
38,T0027,F1-002,F1,129,78,851.1622486865657,False,True,False
39,T0019,E1-004,E1,13,8,802.7819471234159,True,False,False
40,T0036,F1-003,F1,45,41,828.3450500245215,False,True,False
41,T0041,F1-017,F1,62,49,786.0,False,True,False
42,T0026,E1-008,E1,17,12,824.0114289186206,True,False,False
42,T0026,E1-008,E1,25,27,879.9286152107825,False,False,False
43,T0030,E1-009,E1,5,6,830.5340858304745,True,False,False
44,T0031,E1-010,E1,6,6,830.5340858304745,True,False,False
45,T0032,E1-003,E1,19,13,832.3568315584624,True,False,False
45,T0032,E1-003,E1,68,52,885.2974082479301,False,False,False
46,T0055,F1-026,F1,88,58,858.0,False,True,False
47,T0040,F1-005,F1,61,49,814.2381260469958,False,True,False
48,T0062,F1-027,F1,69,52,905.0000000000003,False,True,False
49,T0063,F1-028,F1,70,52,905.0000000000003,False,True,False
50,T0037,E1-006,E1,7,7,878.9691466580401,True,False,False
51,T0047,F1-017,F1,141,90,900.4448571657728,False,True,False
51,T0047,F1-017,F1,135,84,937.2931780933897,False,True,False
51,T0047,F1-017,F1,22,24,1042.7991309219287,False,True,False
52,T0052,F1-001,F1,105,64,886.7589409275292,False,True,False
53,T0053,F1-009,F1,106,64,887.738344668904,False,True,False
54,T0054,F1-010,F1,107,64,887.738344668904,False,True,False
55,T0064,F1-029,F1,38,36,916.0000000000006,False,True,False
55,T0064,F1-029,F1,132,81,1079.5041444179183,False,True,False
56,T0056,F1-005,F1,125,75,941.6755453486437,False,True,False
56,T0056,F1-005,F1,24,26,1016.0917277627824,False,True,False
57,T0046,F1-011,F1,134,83,863.8344224834838,False,True,False
57,T0046,F1-011,F1,131,80,947.4268200006317,False,True,False
57,T0046,F1-011,F1,120,71,1116.1905944920584,False,True,False
58,T0057,F1-012,F1,126,75,944.1781113036038,False,True,False
59,T0058,F1-013,F1,85,57,886.7096577771233,False,True,False
60,T0038,E1-004,E1,8,7,940.7811354892091,True,False,False
61,T0039,E1-001,E1,9,7,977.4418202414138,True,False,False
61,T0039,E1-001,E1,142,91,1058.7183486377203,False,False,False
62,T0059,F1-019,F1,86,57,923.6683671387525,False,True,False
63,T0060,F1-020,F1,143,92,902.1886124030112,False,True,False
64,T0085,F1-031,F1,74,54,1040.0000000000002,False,True,False
64,T0085,F1-031,F1,1,2,1130.992197455284,True,True,False
65,T0086,F1-032,F1,75,54,1040.0000000000002,False,True,False
65,T0086,F1-032,F1,21,19,1113.0563761886276,False,True,False
65,T0086,F1-032,F1,36,34,1257.77032604175,False,True,False
66,T0065,F1-015,F1,53,45,956.6590319646041,False,True,False
67,T0061,E1-009,E1,18,12,950.2940146724168,True,False,False
68,T0066,F1-006,F1,54,45,967.7631359780141,False,True,False
69,T0067,F1-007,F1,116,69,995.5710092593764,False,True,False
70,T0068,F1-008,F1,102,63,975.939469789047,False,True,False
71,T0076,F1-016,F1,60,48,966.0,False,True,False
72,T0069,F1-003,F1,103,63,994.2060863009245,False,True,False
73,T0079,E1-010,E1,32,31,1009.0000000000001,False,False,False
74,T0080,F1-030,F1,33,31,1009.0000000000001,False,True,False
75,T0077,F1-021,F1,23,25,979.0000000000001,False,True,False
76,T0070,F1-004,F1,104,63,1027.9547931381337,False,True,False
77,T0074,F1-020,F1,58,48,1012.4638810031566,False,True,False
78,T0073,F1-013,F1,110,65,1031.4453533946676,False,True,False
79,T0078,E1-002,E1,31,31,1047.418852089943,False,False,False
80,T0071,F1-022,F1,108,65,1031.874307467827,False,True,False
81,T0072,F1-023,F1,109,65,1031.874307467827,False,True,False
82,T0093,F1-033,F1,79,55,1075.0,False,True,False
83,T0094,F1-034,F1,80,55,1075.0,False,True,False
84,T0095,F1-035,F1,81,55,1075.0,False,True,False
85,T0075,F1-026,F1,59,48,1026.6476389381924,False,True,False
86,T0081,F1-001,F1,49,43,1054.3226976927633,False,True,False
87,T0082,F1-009,F1,50,43,1055.3021014341382,False,True,False
88,T0083,F1-010,F1,51,44,1068.480681967733,False,True,False
89,T0084,F1-019,F1,52,44,1073.364454764231,False,True,False
90,T0089,E1-006,E1,26,27,1136.7061349582411,False,False,False
91,T0087,F1-025,F1,66,51,1082.1354824910484,False,True,False
91,T0087,F1-025,F1,29,29,1139.9129151421928,False,True,False
92,T0092,E1-009,E1,78,55,1140.9206667288818,False,False,False
93,T0091,E1-007,E1,77,55,1141.8010537291655,False,False,False
94,T0090,F1-016,F1,44,40,1138.9200474761587,False,True,False
95,T0088,F1-015,F1,67,51,1116.0224535468485,False,True,False
96,T0101,F1-021,F1,115,68,1142.4401116107456,False,True,False
97,T0097,F1-006,F1,72,53,1094.6605179350036,False,True,False
98,T0098,F1-008,F1,73,53,1111.0131855570696,False,True,False
99,T0106,F1-027,F1,101,62,1158.8375091047478,False,True,False
100,T0099,F1-012,F1,113,68,1166.482607958014,False,True,False
101,T0100,F1-020,F1,114,68,1179.3574110480065,False,True,False
102,T0096,F1-003,F1,71,53,1129.2798020689468,False,True,False
103,T0111,E1-004,E1,15,10,1180.0,True,False,False
104,T0112,E1-005,E1,16,10,1180.0,True,False,False
105,T0105,F1-026,F1,100,62,1190.1307401930658,False,True,False
106,T0108,E1-003,E1,3,4,1169.0,True,False,False
106,T0108,E1-003,E1,119,71,1237.0971292579452,False,False,False
107,T0104,F1-007,F1,99,62,1198.0097135721367,False,True,False
108,T0113,E1-010,E1,63,50,1237.6437176780232,False,False,False
109,T0109,F1-013,F1,27,28,1228.969381450474,False,True,False
110,T0110,F1-022,F1,28,28,1229.3983355236337,False,True,False
111,T0114,F1-023,F1,64,50,1244.9734805237347,False,True,False
112,T0102,F1-004,F1,112,67,1214.2836263206354,False,True,False
113,T0115,F1-024,F1,65,50,1254.8399364316815,False,True,False
114,T0103,F1-001,F1,57,47,1167.7444627653454,False,True,False
115,T0107,F1-006,F1,121,72,1220.1655245123625,False,True,False
