trip_id,physical_vehicle_id,vehicle_type,service_node_sequence,depart_min,return_min,fixed_cost,total_cost
T0001,F1-001,F1,127->133,480.0,834.1650037135203,400.0,731.2613473153018
T0002,F1-002,F1,111,480.0,682.7209402766069,400.0,674.6077523023469
T0003,E1-001,E1,20->37->144,480.0,882.0845716541821,400.0,551.2925450385917
T0004,E1-002,E1,40->82,480.0,958.2518177683079,400.0,585.2606567663462
T0005,E1-003,E1,130->136,480.0,787.3946028347746,400.0,494.42725541567535
T0028,F1-015,F1,117->145,480.0,890.3142813899766,400.0,1019.944438264063
T0029,F1-016,F1,118,480.0,900.4201238829876,400.0,1084.127271710044
T0009,E1-005,E1,48->146->2,541.0761122960852,1050.8514212624987,400.0,592.5242532173203
T0010,E1-006,E1,46->35,541.0761122960852,811.4797502010822,400.0,498.2555465442667
T0011,F1-005,F1,47,541.0761122960852,796.0884446659403,400.0,742.7026786878168
T0015,E1-007,E1,41->39,543.4986512331809,1029.8632469516947,400.0,590.7692416573484
T0025,F1-014,F1,138->128->148->4,547.6144862453673,1350.513396216099,400.0,1122.842833939594
T0022,F1-011,F1,89,558.9577470962598,853.9898116740837,400.0,868.7390144994952
T0023,F1-012,F1,90,558.9577470962598,853.9898116740837,400.0,868.7390144994952
T0024,F1-013,F1,91,558.9577470962598,853.9898116740837,400.0,868.7390144994952
T0007,E1-004,E1,14,559.9747779457219,706.3464060817935,400.0,461.62880509187926
T0008,F1-004,F1,137->87,573.7614311940539,947.9889121327144,400.0,696.3015448856719
T0020,F1-009,F1,55,575.3510717494449,835.144407454895,400.0,747.8713729694097
T0021,F1-010,F1,56,575.3510717494449,835.144407454895,400.0,747.8713729694097
T0042,F1-018,F1,34->76,583.762886451058,1222.8906369131187,400.0,1057.3907895475877
T0006,F1-003,F1,139->94,586.0795681295833,709.8835984950197,400.0,531.4448773746466
T0012,F1-006,F1,92,594.7876041811693,674.1425279316762,400.0,502.40759033557424
T0013,F1-007,F1,93,594.7876041811693,674.1425279316762,400.0,502.40759033557424
T0014,F1-008,F1,95,594.7876041811693,674.1425279316762,400.0,502.40759033557424
T0016,E1-008,E1,10,595.5326058531044,786.4420776911993,400.0,451.7463764334933
T0017,E1-009,E1,11,595.5326058531044,786.4420776911993,400.0,451.7463764334933
T0018,E1-010,E1,12,595.5326058531044,786.4420776911993,400.0,451.7463764334933
T0043,F1-019,F1,123,620.512635389442,882.4313328610082,400.0,756.8954126477404
T0044,F1-020,F1,124,620.512635389442,882.4313328610082,400.0,756.8954126477404
T0045,F1-021,F1,122,626.039385461931,901.3956427866566,400.0,819.8601086372225
T0050,F1-024,F1,42->140,656.590934269691,1135.3632530752932,400.0,977.026581732722
T0051,F1-025,F1,43,656.590934269691,1014.5616081031903,400.0,928.5054861533125
T0048,F1-022,F1,83,656.6634364689803,958.2518177683081,400.0,847.1200428684531
T0049,F1-023,F1,84,656.6634364689803,958.2518177683081,400.0,847.1200428684531
T0033,F1-006,F1,96,674.1425279316762,897.4225143388865,0.0,310.27860080586487
T0034,F1-007,F1,97,674.1425279316762,897.4225143388865,0.0,310.27860080586487
T0035,F1-008,F1,98,674.1425279316762,897.4225143388865,0.0,310.27860080586487
T0027,F1-002,F1,30->147->129,682.7209402766069,1336.9325979179714,0.0,459.7753608197918
T0019,E1-004,E1,13,706.3464060817935,858.6164298779064,0.0,131.70476853576804
T0036,F1-003,F1,45,709.8835984950197,914.2402052955051,0.0,317.74037496770194
T0041,F1-017,F1,62,711.4410836354723,824.1496813810555,400.0,495.81194227037406
T0026,E1-008,E1,17->25,786.4420776911993,1223.8881283407438,0.0,250.1023064794063
T0030,E1-009,E1,5,786.4420776911993,894.6260939697497,0.0,104.053886024825
T0031,E1-010,E1,6,786.4420776911993,894.6260939697497,0.0,104.053886024825
T0032,E1-003,E1,19->68,787.3946028347746,1075.996225267736,0.0,166.23308215775415
T0055,F1-026,F1,88,793.7467254643815,966.0058215203305,400.0,733.8812990134813
T0040,F1-005,F1,61,796.0884446659403,852.3878074280514,0.0,90.05533321131998
T0062,F1-027,F1,69,806.5412952173989,1075.9962252677362,400.0,884.9585167131631
T0063,F1-028,F1,70,806.5412952173989,1075.9962252677362,400.0,884.9585167131631
T0037,E1-006,E1,7,811.4797502010822,1003.8180066174971,0.0,120.4331820723141
T0047,F1-017,F1,141->135->22,824.1496813810555,1142.6148597429558,0.0,468.3770918307205
T0052,F1-001,F1,105,834.1650037135203,988.9183965189048,0.0,274.5177231486586
T0053,F1-009,F1,106,835.144407454895,989.8978002602796,0.0,274.5177231486586
T0054,F1-010,F1,107,835.144407454895,989.8978002602796,0.0,274.5177231486586
T0064,F1-029,F1,38->132,850.1562578283911,1195.7613612668824,400.0,958.2996164072518
T0056,F1-005,F1,125->24,852.3878074280514,1169.8847385257427,0.0,462.3609657178104
T0046,F1-011,F1,134->131->120,853.9898116740837,1305.6121059993168,0.0,450.9640829682501
T0057,F1-012,F1,126,853.9898116740837,1080.230895331026,0.0,358.8058828540643
T0058,F1-013,F1,85,853.9898116740837,957.8228636951484,0.0,163.75316396023862
T0038,E1-004,E1,8,858.6164298779064,1066.209486451632,0.0,171.87961649227157
T0039,E1-001,E1,9->142,882.0845716541821,1177.7689039661946,0.0,224.3888625656641
T0059,F1-019,F1,86,882.4313328610082,994.7815730567776,0.0,164.82066732014593
T0060,F1-020,F1,143,882.4313328610082,951.8220635852949,0.0,91.32478317557897
T0085,F1-031,F1,74->1,885.3466808910598,1215.7785541809997,400.0,900.3548883878645
T0086,F1-032,F1,75->21->36,885.3466808910598,1360.9549427152056,400.0,1092.2638780986304
T0065,F1-015,F1,53,890.3142813899766,1048.4485791589905,0.0,241.94726517678603
T0061,E1-009,E1,18,894.6260939697497,1028.982859951411,0.0,50.80401771992294
T0066,F1-006,F1,54,897.4225143388865,1059.5526831724005,0.0,242.48405031922306
T0067,F1-007,F1,116,897.4225143388865,1115.168429735125,0.0,325.0039642467829
T0068,F1-008,F1,102,897.4225143388865,1075.9053507944664,0.0,270.08879532035974
